step,r,r_hex,g_tt,timestamp
0,2.9995766666908272,0x1.7ff220d2a411ep+1,-0.333333371381505,2026-02-14T02:37:41.479701
1,2.999153402063627,0x1.7fe44238c6741p+1,-0.3332392840521424,2026-02-14T02:37:41.479727
2,2.9987302061230547,0x1.7fd6643269b5cp+1,-0.33314518543303084,2026-02-14T02:37:41.479740
3,2.9983070788737622,0x1.7fc886bf9065ap+1,-0.3330510755268906,2026-02-14T02:37:41.479752
4,2.9978840203203987,0x1.7fbaa9e03d120p+1,-0.3329569543364451,2026-02-14T02:37:41.479765
5,2.9974610304676097,0x1.7faccd947248bp+1,-0.33286282186442073,2026-02-14T02:37:41.479775
6,2.997038109320038,0x1.7f9ef1dc32971p+1,-0.3327686781135468,2026-02-14T02:37:41.479789
7,2.9966152568823214,0x1.7f9116b78089fp+1,-0.33267452308655565,2026-02-14T02:37:41.479801
8,2.996192473159097,0x1.7f833c265eaddp+1,-0.33258035678618225,2026-02-14T02:37:41.479812
9,2.9957697581549962,0x1.7f756228cf8e9p+1,-0.3324861792151649,2026-02-14T02:37:41.479824
10,2.995347111874649,0x1.7f6788bed5b7cp+1,-0.33239199037624445,2026-02-14T02:37:41.479835
11,2.9949245343226805,0x1.7f59afe873b46p+1,-0.332297790272165,2026-02-14T02:37:41.479846
12,2.994502025503714,0x1.7f4bd7a5ac0f1p+1,-0.33220357890567354,2026-02-14T02:37:41.479856
13,2.9940795854223685,0x1.7f3dfff68151ep+1,-0.3321093562795202,2026-02-14T02:37:41.479864
14,2.99365721408326,0x1.7f3028daf6067p+1,-0.3320151223964576,2026-02-14T02:37:41.479876
15,2.9932349114910006,0x1.7f2252530cb5fp+1,-0.33192087725924146,2026-02-14T02:37:41.479889
16,2.9928126776502006,0x1.7f147c5ec7e92p+1,-0.331826620870631,2026-02-14T02:37:41.479900
17,2.9923905125654655,0x1.7f06a6fe2a283p+1,-0.33173235323338746,2026-02-14T02:37:41.479912
18,2.991968416241398,0x1.7ef8d23135fafp+1,-0.3316380743502757,2026-02-14T02:37:41.479923
19,2.9915463886825986,0x1.7eeafdf7ede8cp+1,-0.3315437842240633,2026-02-14T02:37:41.479934
20,2.991124429893662,0x1.7edd2a5254786p+1,-0.33144948285752096,2026-02-14T02:37:41.479946
21,2.990702539879182,0x1.7ecf57406c304p+1,-0.3313551702534222,2026-02-14T02:37:41.479956
22,2.990280718643748,0x1.7ec184c237965p+1,-0.33126084641454323,2026-02-14T02:37:41.479969
23,2.989858966191946,0x1.7eb3b2d7b9300p+1,-0.33116651134366404,2026-02-14T02:37:41.479981
24,2.989437282528359,0x1.7ea5e180f3825p+1,-0.3310721650435665,2026-02-14T02:37:41.479992
25,2.9890156676575668,0x1.7e9810bde911cp+1,-0.3309778075170363,2026-02-14T02:37:41.480003
26,2.9885941215841454,0x1.7e8a408e9c626p+1,-0.33088343876686166,2026-02-14T02:37:41.480014
27,2.9881726443126677,0x1.7e7c70f30ff7cp+1,-0.33078905879583376,2026-02-14T02:37:41.480025
28,2.987751235847704,0x1.7e6ea1eb46551p+1,-0.33069466760674693,2026-02-14T02:37:41.480034
29,2.9873298961938195,0x1.7e60d37741fcep+1,-0.3306002652023985,2026-02-14T02:37:41.480043
30,2.986908625355578,0x1.7e53059705717p+1,-0.33050585158558843,2026-02-14T02:37:41.480056
