step,r,r_hex,g_tt,timestamp
0,2.999576666690827,0x1.7ff220d2a411ep+1,-0.333333371381505,2026-02-14T...
1,2.999153402063627,0x1.7fe44238c6741p+1,-0.333239284052142,2026-02-14T...
2,2.998730206123055,0x1.7fd6643269b5cp+1,-0.333145185433031,2026-02-14T...
3,2.998307078873762,0x1.7fc886bf9065ap+1,-0.333051075526891,2026-02-14T...
4,2.997884020320399,0x1.7fbaa9e03d12p+1,-0.332956954336445,2026-02-14T...
5,2.997461030467610,0x1.7faccd947248bp+1,-0.332862821864421,2026-02-14T...
6,2.997038109320038,0x1.7f9ef1dc32971p+1,-0.332768678113547,2026-02-14T...
7,2.996615256882321,0x1.7f9116b78089fp+1,-0.332674523086556,2026-02-14T...
8,2.996192473159097,0x1.7f833c265eaddp+1,-0.332580356786182,2026-02-14T...
9,2.995769758154996,0x1.7f756228cf8e9p+1,-0.332486179215165,2026-02-14T...
10,2.995347111874649,0x1.7f6788bed5b7cp+1,-0.332391990376244,2026-02-14T...
11,2.994924534322680,0x1.7f59afe873b46p+1,-0.332297790272165,2026-02-14T...
12,2.994502025503714,0x1.7f4bd7a5ac0f1p+1,-0.332203578905674,2026-02-14T...
13,2.994079585422369,0x1.7f3dfff68151ep+1,-0.332109356279520,2026-02-14T...
14,2.993657214083260,0x1.7f3028daf6067p+1,-0.332015122396458,2026-02-14T...
15,2.993234911491001,0x1.7f2252530cb5fp+1,-0.331920877259241,2026-02-14T...
16,2.992812677650201,0x1.7f147c5ec7e92p+1,-0.331826620870631,2026-02-14T...
17,2.992390512565466,0x1.7f06a6fe2a283p+1,-0.331732353233387,2026-02-14T...
18,2.991968416241398,0x1.7ef8d23135fafp+1,-0.331638074350276,2026-02-14T...
19,2.991546388682599,0x1.7eeafdf7ede8cp+1,-0.331543784224063,2026-02-14T...
20,2.991124429893662,0x1.7edd2a5254786p+1,-0.331449482857521,2026-02-14T...
21,2.990702539879182,0x1.7ecf57406c304p+1,-0.331355170253422,2026-02-14T...
22,2.990280718643748,0x1.7ec184c237965p+1,-0.331260846414543,2026-02-14T...
23,2.989858966191946,0x1.7eb3b2d7b93p+1,-0.331166511343664,2026-02-14T...
24,2.989437282528359,0x1.7ea5e180f3825p+1,-0.331072165043567,2026-02-14T...
25,2.989015667657567,0x1.7e9810bde911cp+1,-0.330977807517036,2026-02-14T...
26,2.988594121584145,0x1.7e8a408e9c626p+1,-0.330883438766862,2026-02-14T...
27,2.988172644312668,0x1.7e7c70f30ff7cp+1,-0.330789058795834,2026-02-14T...
28,2.987751235847704,0x1.7e6ea1eb46551p+1,-0.330694667606747,2026-02-14T...
29,2.987329896193820,0x1.7e60d37741fcep+1,-0.330600265202398,2026-02-14T...
30,2.986908625355578,0x1.7e53059705717p+1,-0.330505851585588,2026-02-14T...
31,2.986487423337539,0x1.7e45384a93347p+1,-0.330411426759120,2026-02-14T...
32,2.986066290144259,0x1.7e376b91edc72p+1,-0.330316990725799,2026-02-14T...
33,2.985645225780290,0x1.7e299f6d17aa4p+1,-0.330222543488435,2026-02-14T...
34,2.985224230250183,0x1.7e1bd3dc135e2p+1,-0.330128085049839,2026-02-14T...
35,2.984803303558483,0x1.7e0e08dee3629p+1,-0.330033615412827,2026-02-14T...
36,2.984382445709734,0x1.7e003e758a37p+1,-0.329939134580217,2026-02-14T...
37,2.983961656708475,0x1.7df274a00a5a5p+1,-0.329844642554829,2026-02-14T...
38,2.983540936559243,0x1.7de4ab5e664aep+1,-0.329750139339487,2026-02-14T...
39,2.983120285266570,0x1.7dd6e2b0a086bp+1,-0.329655624937019,2026-02-14T...
40,2.982699702834987,0x1.7dc91a96bb8b4p+1,-0.329561099350253,2026-02-14T...
41,2.982279189269018,0x1.7dbb5310b9d58p+1,-0.329466562582024,2026-02-14T...
42,2.981858744573188,0x1.7dad8c1e9de21p+1,-0.329372014635166,2026-02-14T...
43,2.981438368752016,0x1.7d9fc5c06a2cfp+1,-0.329277455512518,2026-02-14T...
44,2.981018061810018,0x1.7d91fff62131dp+1,-0.329182885216922,2026-02-14T...
45,2.980597823751706,0x1.7d843abfc56bcp+1,-0.329088303751222,2026-02-14T...
46,2.980177654581591,0x1.7d76761d59556p+1,-0.328993711118267,2026-02-14T...
47,2.979757554304178,0x1.7d68b20edf68fp+1,-0.328899107320906,2026-02-14T...
48,2.979337522923971,0x1.7d5aee945a202p+1,-0.328804492361994,2026-02-14T...
49,2.978917560445468,0x1.7d4d2badcbf42p+1,-0.328709866244386,2026-02-14T...
50,2.978497666873166,0x1.7d3f695b375dcp+1,-0.328615228970943,2026-02-14T...
51,2.978077842211556,0x1.7d31a79c9ed54p+1,-0.328520580544527,2026-02-14T...
52,2.977658086465130,0x1.7d23e67204d28p+1,-0.328425920968003,2026-02-14T...
53,2.977238399638372,0x1.7d1625db6bcccp+1,-0.328331250244239,2026-02-14T...
54,2.976818781735765,0x1.7d0865d8d63afp+1,-0.328236568376108,2026-02-14T...
55,2.976399232761789,0x1.7cfaa66a46937p+1,-0.328141875366484,2026-02-14T...
56,2.975979752720918,0x1.7cece78fbf4c2p+1,-0.328047171218243,2026-02-14T...
57,2.975560341617626,0x1.7cdf294942da8p+1,-0.327952455934266,2026-02-14T...
58,2.975140999456382,0x1.7cd16b96d3b37p+1,-0.327857729517438,2026-02-14T...
59,2.974721726241651,0x1.7cc3ae78744b8p+1,-0.327762991970642,2026-02-14T...
60,2.974302521977895,0x1.7cb5f1ee2716bp+1,-0.327668243296770,2026-02-14T...
61,2.973883386669574,0x1.7ca835f7ee888p+1,-0.327573483498714,2026-02-14T...
62,2.973464320321142,0x1.7c9a7a95cd14p+1,-0.327478712579368,2026-02-14T...
63,2.973045322937053,0x1.7c8cbfc7c52bdp+1,-0.327383930541631,2026-02-14T...
64,2.972626394521754,0x1.7c7f058dd942p+1,-0.327289137388405,2026-02-14T...
65,2.972207535079691,0x1.7c714be80bc83p+1,-0.327194333122592,2026-02-14T...
66,2.971788744615307,0x1.7c6392d65f2f9p+1,-0.327099517747101,2026-02-14T...
67,2.971370023133039,0x1.7c55da58d5e8cp+1,-0.327004691264842,2026-02-14T...
68,2.970951370637323,0x1.7c48226f7263fp+1,-0.326909853678728,2026-02-14T...
69,2.970532787132590,0x1.7c3a6b1a3710ep+1,-0.326815004991674,2026-02-14T...
70,2.970114272623269,0x1.7c2cb459265ecp+1,-0.326720145206601,2026-02-14T...
71,2.969695827113784,0x1.7c1efe2c42bc6p+1,-0.326625274326429,2026-02-14T...
72,2.969277450608558,0x1.7c1148938e98p+1,-0.326530392354085,2026-02-14T...
73,2.968859143112009,0x1.7c03938f0c5f6p+1,-0.326435499292497,2026-02-14T...
74,2.968440904628550,0x1.7bf5df1ebe7fep+1,-0.326340595144594,2026-02-14T...
75,2.968022735162594,0x1.7be82b42a7665p+1,-0.326245679913313,2026-02-14T...
76,2.967604634718548,0x1.7bda77fac97f1p+1,-0.326150753601589,2026-02-14T...
77,2.967186603300817,0x1.7bccc5472735fp+1,-0.326055816212362,2026-02-14T...
78,2.966768640913801,0x1.7bbf1327c2f66p+1,-0.325960867748576,2026-02-14T...
79,2.966350747561899,0x1.7bb1619c9f2b5p+1,-0.325865908213177,2026-02-14T...
80,2.965932923249505,0x1.7ba3b0a5be3f3p+1,-0.325770937609113,2026-02-14T...
81,2.965515167981009,0x1.7b960043229bep+1,-0.325675955939337,2026-02-14T...
82,2.965097481760799,0x1.7b885074ceaaep+1,-0.325580963206804,2026-02-14T...
83,2.964679864593259,0x1.7b7aa13ac4d53p+1,-0.325485959414472,2026-02-14T...
84,2.964262316482769,0x1.7b6cf29507835p+1,-0.325390944565301,2026-02-14T...
85,2.963844837433707,0x1.7b5f4483991d5p+1,-0.325295918662256,2026-02-14T...
86,2.963427427450445,0x1.7b5197067c0aap+1,-0.325200881708304,2026-02-14T...
87,2.963010086537355,0x1.7b43ea1db2b26p+1,-0.325105833706414,2026-02-14T...
88,2.962592814698803,0x1.7b363dc93f7b2p+1,-0.325010774659560,2026-02-14T...
89,2.962175611939152,0x1.7b28920924cafp+1,-0.324915704570718,2026-02-14T...
90,2.961758478262762,0x1.7b1ae6dd65077p+1,-0.324820623442866,2026-02-14T...
91,2.961341413673990,0x1.7b0d3c460295cp+1,-0.324725531278987,2026-02-14T...
92,2.960924418177189,0x1.7aff9242ffda7p+1,-0.324630428082066,2026-02-14T...
93,2.960507491776708,0x1.7af1e8d45f39cp+1,-0.324535313855090,2026-02-14T...
94,2.960090634476893,0x1.7ae43ffa23174p+1,-0.324440188601051,2026-02-14T...
95,2.959673846282088,0x1.7ad697b44dd63p+1,-0.324345052322942,2026-02-14T...
96,2.959257127196631,0x1.7ac8f002e1d94p+1,-0.324249905023761,2026-02-14T...
97,2.958840477224858,0x1.7abb48e5e182ap+1,-0.324154746706508,2026-02-14T...
98,2.958423896371102,0x1.7aada25d4f34p+1,-0.324059577374185,2026-02-14T...
99,2.958007384639690,0x1.7a9ffc692d4eap+1,-0.323964397029799,2026-02-14T...
