step,r,r_hex,g_tt,timestamp
0,2.499640003236509,0x1.3ff43420d64a4p+1,-0.200000081167806,2026-02-14T...
1,2.499280075599958,0x1.3fe868d61f846p+1,-0.199884865647672,2026-02-14T...
2,2.498920217090343,0x1.3fdc9e1fdbadep+1,-0.199769639069578,2026-02-14T...
3,2.498560427707656,0x1.3fd0d3fe0ac59p+1,-0.199654401438308,2026-02-14T...
4,2.498200707451883,0x1.3fc50a70acc9ap+1,-0.199539152758646,2026-02-14T...
5,2.497841056323008,0x1.3fb94177c1b78p+1,-0.199423893035383,2026-02-14T...
6,2.497481474321006,0x1.3fad7913498cp+1,-0.199308622273311,2026-02-14T...
7,2.497121961445851,0x1.3fa1b14344434p+1,-0.199193340477225,2026-02-14T...
8,2.496762517697510,0x1.3f95ea07b1d8cp+1,-0.199078047651923,2026-02-14T...
9,2.496403143075947,0x1.3f8a236092474p+1,-0.198962743802208,2026-02-14T...
10,2.496043837581118,0x1.3f7e5d4de588ep+1,-0.198847428932884,2026-02-14T...
11,2.495684601212979,0x1.3f7297cfab97p+1,-0.198732103048757,2026-02-14T...
12,2.495325433971476,0x1.3f66d2e5e46a7p+1,-0.198616766154640,2026-02-14T...
13,2.494966335856555,0x1.3f5b0e908ffb5p+1,-0.198501418255345,2026-02-14T...
14,2.494607306868154,0x1.3f4f4acfae41p+1,-0.198386059355690,2026-02-14T...
15,2.494248347006208,0x1.3f4387a33f324p+1,-0.198270689460494,2026-02-14T...
16,2.493889456270645,0x1.3f37c50b42c52p+1,-0.198155308574580,2026-02-14T...
17,2.493530634661390,0x1.3f2c0307b8efp+1,-0.198039916702775,2026-02-14T...
18,2.493171882178363,0x1.3f204198a1a49p+1,-0.197924513849906,2026-02-14T...
19,2.492813198821480,0x1.3f1480bdfcd9fp+1,-0.197809100020806,2026-02-14T...
20,2.492454584590650,0x1.3f08c077ca827p+1,-0.197693675220311,2026-02-14T...
21,2.492096039485778,0x1.3efd00c60a90cp+1,-0.197578239453258,2026-02-14T...
22,2.491737563506766,0x1.3ef141a8bcf6ep+1,-0.197462792724488,2026-02-14T...
23,2.491379156653510,0x1.3ee5831fe1a63p+1,-0.197347335038846,2026-02-14T...
24,2.491020818925899,0x1.3ed9c52b788f6p+1,-0.197231866401179,2026-02-14T...
25,2.490662550323822,0x1.3ece07cb81a26p+1,-0.197116386816337,2026-02-14T...
26,2.490304350847158,0x1.3ec24afffcce9p+1,-0.197000896289173,2026-02-14T...
27,2.489946220495785,0x1.3eb68ec8ea028p+1,-0.196885394824545,2026-02-14T...
28,2.489588159269574,0x1.3eaad326492c3p+1,-0.196769882427311,2026-02-14T...
29,2.489230167168393,0x1.3e9f18181a38fp+1,-0.196654359102335,2026-02-14T...
30,2.488872244192104,0x1.3e935d9e5d155p+1,-0.196538824854480,2026-02-14T...
31,2.488514390340564,0x1.3e87a3b911ad4p+1,-0.196423279688617,2026-02-14T...
32,2.488156605613626,0x1.3e7bea6837ec1p+1,-0.196307723609617,2026-02-14T...
33,2.487798890011137,0x1.3e7031abcfbc5p+1,-0.196192156622354,2026-02-14T...
