step,r,r_hex,g_tt,timestamp
0,1.499932222239462,0x1.7ffb8ee0bc2f2p+0,0.333332994187969,2026-02-14T...
1,1.499864468477533,0x1.7ff71e288b1e1p+0,0.333393243762637,2026-02-14T...
2,1.499796738706246,0x1.7ff2add7640a5p+0,0.333453477446632,2026-02-14T...
3,1.499729032917635,0x1.7fee3ded3e31fp+0,0.333513695241993,2026-02-14T...
4,1.499661351103738,0x1.7fe9ce6a10d3ap+0,0.333573897150759,2026-02-14T...
5,1.499593693256595,0x1.7fe55f4dd32ebp+0,0.333634083174972,2026-02-14T...
6,1.499526059368247,0x1.7fe0f0987c83p+0,0.333694253316674,2026-02-14T...
7,1.499458449430737,0x1.7fdc824a0411p+0,0.333754407577909,2026-02-14T...
8,1.499390863436111,0x1.7fd814626119cp+0,0.333814545960722,2026-02-14T...
9,1.499323301376417,0x1.7fd3a6e18adeep+0,0.333874668467159,2026-02-14T...
10,1.499255763243705,0x1.7fcf39c778a2bp+0,0.333934775099269,2026-02-14T...
11,1.499188249030027,0x1.7fcacd1421a8p+0,0.333994865859100,2026-02-14T...
12,1.499120758727437,0x1.7fc660c77d323p+0,0.334054940748702,2026-02-14T...
13,1.499053292327990,0x1.7fc1f4e182855p+0,0.334114999770128,2026-02-14T...
14,1.498985849823747,0x1.7fbd896228e6p+0,0.334175042925429,2026-02-14T...
15,1.498918431206766,0x1.7fb91e4967997p+0,0.334235070216660,2026-02-14T...
16,1.498851036469110,0x1.7fb4b39735e57p+0,0.334295081645877,2026-02-14T...
17,1.498783665602845,0x1.7fb0494b8b107p+0,0.334355077215136,2026-02-14T...
18,1.498716318600037,0x1.7fabdf665e616p+0,0.334415056926495,2026-02-14T...
19,1.498648995452754,0x1.7fa775e7a71fdp+0,0.334475020782013,2026-02-14T...
20,1.498581696153067,0x1.7fa30ccf5c93fp+0,0.334534968783751,2026-02-14T...
21,1.498514420693051,0x1.7f9ea41d76069p+0,0.334594900933771,2026-02-14T...
22,1.498447169064779,0x1.7f9a3bd1eac1p+0,0.334654817234136,2026-02-14T...
23,1.498379941260329,0x1.7f95d3ecb20d4p+0,0.334714717686910,2026-02-14T...
24,1.498312737271781,0x1.7f916c6dc335dp+0,0.334774602294158,2026-02-14T...
25,1.498245557091216,0x1.7f8d05551585dp+0,0.334834471057949,2026-02-14T...
26,1.498178400710717,0x1.7f889ea2a049p+0,0.334894323980349,2026-02-14T...
27,1.498111268122371,0x1.7f8438565acbcp+0,0.334954161063429,2026-02-14T...
