step,r,r_hex,g_tt,timestamp
0,2.499640003236509,0x1.3ff43420d64a4p+1,-0.20000008116780588,2026-02-14T02:37:41.441297
1,2.499280075599958,0x1.3fe868d61f846p+1,-0.19988486564767227,2026-02-14T02:37:41.441324
2,2.498920217090343,0x1.3fdc9e1fdbadep+1,-0.19976963906957845,2026-02-14T02:37:41.441339
3,2.498560427707656,0x1.3fd0d3fe0ac59p+1,-0.1996544014383077,2026-02-14T02:37:41.441351
4,2.4982007074518835,0x1.3fc50a70acc9ap+1,-0.1995391527586462,2026-02-14T02:37:41.441379
5,2.497841056323008,0x1.3fb94177c1b78p+1,-0.19942389303538322,2026-02-14T02:37:41.441392
6,2.497481474321006,0x1.3fad7913498c0p+1,-0.19930862227331092,2026-02-14T02:37:41.441405
7,2.497121961445851,0x1.3fa1b14344434p+1,-0.19919334047722492,2026-02-14T02:37:41.441417
8,2.49676251769751,0x1.3f95ea07b1d8cp+1,-0.1990780476519235,2026-02-14T02:37:41.441429
9,2.4964031430759466,0x1.3f8a236092474p+1,-0.19896274380220813,2026-02-14T02:37:41.441441
10,2.4960438375811185,0x1.3f7e5d4de588ep+1,-0.19884742893288365,2026-02-14T02:37:41.441453
11,2.4956846012129787,0x1.3f7297cfab970p+1,-0.19873210304875744,2026-02-14T02:37:41.441466
12,2.4953254339714763,0x1.3f66d2e5e46a7p+1,-0.19861676615464008,2026-02-14T02:37:41.441478
13,2.4949663358565553,0x1.3f5b0e908ffb5p+1,-0.19850141825534529,2026-02-14T02:37:41.441494
14,2.4946073068681542,0x1.3f4f4acfae410p+1,-0.1983860593556901,2026-02-14T02:37:41.441506
15,2.4942483470062076,0x1.3f4387a33f324p+1,-0.1982706894604942,2026-02-14T02:37:41.441517
16,2.4938894562706446,0x1.3f37c50b42c52p+1,-0.1981553085745804,2026-02-14T02:37:41.441528
17,2.49353063466139,0x1.3f2c0307b8ef0p+1,-0.19803991670277477,2026-02-14T02:37:41.441540
18,2.493171882178363,0x1.3f204198a1a49p+1,-0.19792451384990606,2026-02-14T02:37:41.441552
19,2.4928131988214797,0x1.3f1480bdfcd9fp+1,-0.19780910002080632,2026-02-14T02:37:41.441586
20,2.4924545845906496,0x1.3f08c077ca827p+1,-0.197693675220311,2026-02-14T02:37:41.441598
21,2.4920960394857783,0x1.3efd00c60a90cp+1,-0.1975782394532577,2026-02-14T02:37:41.441610
22,2.4917375635067662,0x1.3ef141a8bcf6ep+1,-0.19746279272448808,2026-02-14T02:37:41.441621
23,2.4913791566535095,0x1.3ee5831fe1a63p+1,-0.19734733503884583,2026-02-14T02:37:41.441633
24,2.4910208189258993,0x1.3ed9c52b788f6p+1,-0.1972318664011785,2026-02-14T02:37:41.441645
25,2.4906625503238216,0x1.3ece07cb81a26p+1,-0.1971163868163367,2026-02-14T02:37:41.441656
26,2.490304350847158,0x1.3ec24afffcce9p+1,-0.1970008962891735,2026-02-14T02:37:41.441669
27,2.489946220495785,0x1.3eb68ec8ea028p+1,-0.19688539482454515,2026-02-14T02:37:41.441682
28,2.4895881592695743,0x1.3eaad326492c3p+1,-0.19676988242731142,2026-02-14T02:37:41.441694
29,2.4892301671683934,0x1.3e9f18181a38fp+1,-0.19665435910233464,2026-02-14T02:37:41.441706
30,2.488872244192104,0x1.3e935d9e5d155p+1,-0.1965388248544805,2026-02-14T02:37:41.441718
31,2.4885143903405638,0x1.3e87a3b911ad4p+1,-0.1964232796886174,2026-02-14T02:37:41.441729
32,2.4881566056136255,0x1.3e7bea6837ec1p+1,-0.196307723609617,2026-02-14T02:37:41.441741
33,2.487798890011137,0x1.3e7031abcfbc5p+1,-0.19619215662235412,2026-02-14T02:37:41.441754
34,2.487441243532941,0x1.3e647983d907ep+1,-0.19607657873170647,2026-02-14T02:37:41.441766
35,2.4870836661788758,0x1.3e58c1f053b80p+1,-0.19596098994255473,2026-02-14T02:37:41.441777
36,2.4867261579487745,0x1.3e4d0af13fb53p+1,-0.19584539025978287,2026-02-14T02:37:41.441789
37,2.486368718842466,0x1.3e4154869ce76p+1,-0.19572977968827732,2026-02-14T02:37:41.441801
38,2.4860113488597744,0x1.3e359eb06b35cp+1,-0.19561415823292838,2026-02-14T02:37:41.441813
39,2.485654048000518,0x1.3e29e96eaa86dp+1,-0.19549852589862893,2026-02-14T02:37:41.441825
40,2.485296816264511,0x1.3e1e34c15ac06p+1,-0.1953828826902747,2026-02-14T02:37:41.441836
41,2.484939653651563,0x1.3e1280a87bc7ap+1,-0.1952672286127647,2026-02-14T02:37:41.441848
42,2.484582560161478,0x1.3e06cd240d811p+1,-0.19515156367100117,2026-02-14T02:37:41.441860
43,2.4842255357940566,0x1.3dfb1a340fd08p+1,-0.19503588786988912,2026-02-14T02:37:41.441872
44,2.483868580549093,0x1.3def67d882991p+1,-0.1949202012143365,2026-02-14T02:37:41.441888
45,2.4835116944263778,0x1.3de3b61165bd4p+1,-0.19480450370925473,2026-02-14T02:37:41.441899
46,2.4831548774256955,0x1.3dd804deb91ecp+1,-0.19468879535955796,2026-02-14T02:37:41.441911
47,2.482798129546827,0x1.3dcc54407c9ebp+1,-0.19457307617016306,2026-02-14T02:37:41.441922
48,2.4824414507895476,0x1.3dc0a436b01d8p+1,-0.19445734614599075,2026-02-14T02:37:41.441934
49,2.4820848411536285,0x1.3db4f4c1537afp+1,-0.19434160529196398,2026-02-14T02:37:41.441950
50,2.4817283006388355,0x1.3da945e066961p+1,-0.19422585361300915,2026-02-14T02:37:41.441961
51,2.4813718292449294,0x1.3d9d9793e94d3p+1,-0.19411009111405575,2026-02-14T02:37:41.441973
52,2.4810154269716667,0x1.3d91e9dbdb7e1p+1,-0.19399431780003584,2026-02-14T02:37:41.441984
53,2.480659093818799,0x1.3d863cb83d05cp+1,-0.19387853367588515,2026-02-14T02:37:41.441996
54,2.480302829786073,0x1.3d7a90290dc09p+1,-0.19376273874654204,2026-02-14T02:37:41.442008
55,2.479946634873231,0x1.3d6ee42e4d8a3p+1,-0.1936469330169479,2026-02-14T02:37:41.442022
56,2.4795905090800088,0x1.3d6338c7fc3d9p+1,-0.19353111649204746,2026-02-14T02:37:41.442034
57,2.479234452406139,0x1.3d578df619b50p+1,-0.19341528917678796,2026-02-14T02:37:41.442047
58,2.4788784648513498,0x1.3d4be3b8a5ca3p+1,-0.19329945107612,2026-02-14T02:37:41.442058
59,2.4785225464153626,0x1.3d403a0fa0560p+1,-0.1931836021949973,2026-02-14T02:37:41.442098
60,2.4781666970978957,0x1.3d3490fb0930cp+1,-0.19306774253837633,2026-02-14T02:37:41.442110
61,2.4778109168986617,0x1.3d28e87ae0320p+1,-0.19295187211121678,2026-02-14T02:37:41.442122
62,2.477455205817369,0x1.3d1d408f2530bp+1,-0.19283599091848136,2026-02-14T02:37:41.442138
63,2.4770995638537205,0x1.3d119937d8031p+1,-0.19272009896513576,2026-02-14T02:37:41.442155
64,2.4767439910074147,0x1.3d05f274f87eap+1,-0.19260419625614866,2026-02-14T02:37:41.442167
