step,r,r_hex,g_tt,timestamp
0,1.4999322222394622,0x1.7ffb8ee0bc2f2p+0,0.333332994187969,2026-02-14T02:37:41.504224
1,1.499864468477533,0x1.7ff71e288b1e1p+0,0.33339324376263724,2026-02-14T02:37:41.504239
2,1.4997967387062456,0x1.7ff2add7640a5p+0,0.33345347744663245,2026-02-14T02:37:41.504251
3,1.499729032917635,0x1.7fee3ded3e31fp+0,0.3335136952419928,2026-02-14T02:37:41.504262
4,1.4996613511037382,0x1.7fe9ce6a10d3ap+0,0.33357389715075914,2026-02-14T02:37:41.504274
5,1.499593693256595,0x1.7fe55f4dd32ebp+0,0.3336340831749718,2026-02-14T02:37:41.504286
6,1.4995260593682467,0x1.7fe0f0987c830p+0,0.3336942533166738,2026-02-14T02:37:41.504297
7,1.4994584494307368,0x1.7fdc824a04110p+0,0.33375440757790864,2026-02-14T02:37:41.504308
8,1.499390863436111,0x1.7fd814626119cp+0,0.3338145459607216,2026-02-14T02:37:41.504319
9,1.4993233013764171,0x1.7fd3a6e18adeep+0,0.3338746684671594,2026-02-14T02:37:41.504329
10,1.4992557632437051,0x1.7fcf39c778a2bp+0,0.33393477509926894,2026-02-14T02:37:41.504340
11,1.499188249030027,0x1.7fcacd1421a80p+0,0.3339948658590999,2026-02-14T02:37:41.504365
12,1.4991207587274367,0x1.7fc660c77d323p+0,0.33405494074870234,2026-02-14T02:37:41.504379
13,1.4990532923279904,0x1.7fc1f4e182855p+0,0.3341149997701278,2026-02-14T02:37:41.504391
14,1.4989858498237467,0x1.7fbd896228e60p+0,0.3341750429254289,2026-02-14T02:37:41.504402
15,1.4989184312067658,0x1.7fb91e4967997p+0,0.3342350702166603,2026-02-14T02:37:41.504414
16,1.4988510364691103,0x1.7fb4b39735e57p+0,0.3342950816458772,2026-02-14T02:37:41.504425
17,1.498783665602845,0x1.7fb0494b8b107p+0,0.3343550772151358,2026-02-14T02:37:41.504436
18,1.4987163186000365,0x1.7fabdf665e616p+0,0.33441505692649454,2026-02-14T02:37:41.504446
19,1.4986489954527535,0x1.7fa775e7a71fdp+0,0.33447502078201286,2026-02-14T02:37:41.504457
20,1.4985816961530671,0x1.7fa30ccf5c93fp+0,0.33453496878375133,2026-02-14T02:37:41.504469
21,1.4985144206930505,0x1.7f9ea41d76069p+0,0.3345949009337712,2026-02-14T02:37:41.504482
22,1.4984471690647787,0x1.7f9a3bd1eac10p+0,0.3346548172341357,2026-02-14T02:37:41.504494
23,1.4983799412603291,0x1.7f95d3ecb20d4p+0,0.33471471768690986,2026-02-14T02:37:41.504506
24,1.498312737271781,0x1.7f916c6dc335dp+0,0.33477460229415823,2026-02-14T02:37:41.504519
25,1.4982455570912159,0x1.7f8d05551585dp+0,0.3348344710579487,2026-02-14T02:37:41.504531
26,1.4981784007107173,0x1.7f889ea2a0490p+0,0.33489432398034946,2026-02-14T02:37:41.504543
27,1.4981112681223712,0x1.7f8438565acbcp+0,0.33495416106342923,2026-02-14T02:37:41.504554
28,1.4980441593182652,0x1.7f7fd2703c5afp+0,0.3350139823092593,2026-02-14T02:37:41.504567
29,1.4979770742904892,0x1.7f7b6cf03c441p+0,0.33507378771991103,2026-02-14T02:37:41.504578
30,1.4979100130311354,0x1.7f7707d651d54p+0,0.3351335772974584,2026-02-14T02:37:41.504589
31,1.4978429755322977,0x1.7f72a322745d3p+0,0.3351933510439755,2026-02-14T02:37:41.504600
32,1.4977759617860726,0x1.7f6e3ed49b2b3p+0,0.3352531089615387,2026-02-14T02:37:41.504611
33,1.4977089717845582,0x1.7f69daecbd8f1p+0,0.3353128510522241,2026-02-14T02:37:41.504622
34,1.4976420055198552,0x1.7f65776ad2d96p+0,0.3353725773181109,2026-02-14T02:37:41.504633
35,1.4975750629840658,0x1.7f61144ed25b2p+0,0.3354322877612783,2026-02-14T02:37:41.504643
36,1.497508144169295,0x1.7f5cb198b3660p+0,0.33549198238380695,2026-02-14T02:37:41.504654
37,1.4974412490676494,0x1.7f584f486d4c4p+0,0.33555166118777935,2026-02-14T02:37:41.504665
38,1.4973743776712378,0x1.7f53ed5df760bp+0,0.3356113241752783,2026-02-14T02:37:41.504676
39,1.4973075299721714,0x1.7f4f8bd948f6dp+0,0.33567097134838897,2026-02-14T02:37:41.504687
40,1.4972407059625632,0x1.7f4b2aba5962ap+0,0.3357306027091971,2026-02-14T02:37:41.504698
41,1.4971739056345283,0x1.7f46ca011ff8cp+0,0.3357902182597896,2026-02-14T02:37:41.504709
42,1.497107128980184,0x1.7f4269ad940e6p+0,0.33584981800225466,2026-02-14T02:37:41.504721
43,1.49704037599165,0x1.7f3e09bfacf96p+0,0.33590940193868235,2026-02-14T02:37:41.504732
44,1.4969736466610475,0x1.7f39aa3762102p+0,0.3359689700711632,2026-02-14T02:37:41.504743
