timestamp_ns,phase,fragment,neurons_active,cpu_ns,ink_pixels,total_pixels,ink_ratio,merkle_prefix
1771966274703689273,train,1004283650,3098856,2717236601,51200,102400,0.50000000,f924894a564bbba9
1771966277701414950,train,1006462223,3234001,2697851316,51200,102400,0.50000000,2d366b1cdec6ee2b
1771966280707501817,train,1013184726,3344991,2725850274,51200,102400,0.50000000,360ff53da040bef7
1771966283731281492,train,102536988,2920474,2742033742,51200,102400,0.50000000,1cb92a4f747596ce
1771966286725417311,train,1029212680,3208706,2708563192,51200,102400,0.50000000,0b800c6b32982064
1771966289699746650,train,1033375083,2215189,2698690715,51200,102400,0.50000000,bc0a57d4b0566e94
1771966292700394192,train,1033784946,2579615,2713530074,51200,102400,0.50000000,a12d0a73fa46ce70
1771966295868147335,train,1044587645,2987763,2719053494,51200,102400,0.50000000,c543c4ce790f694f
1771966298882874184,train,105068588,2367611,2720479490,51200,102400,0.50000000,e217717d1d2a3637
1771966301890551938,train,105796630,1503380,2723272461,51200,102400,0.50000000,026857e153090926
1771966304919325268,train,1059332280,1618669,2707834098,51200,102400,0.50000000,e1effd15cf35bd0f
1771966307903185966,train,1061356924,1188146,2710624632,51200,102400,0.50000000,239669cca2e64367
1771966310930554242,train,1075217434,2887163,2739946401,51200,102400,0.50000000,dc329e3f6b5d728f
1771966313928831982,train,1079776201,2595697,2712727618,51200,102400,0.50000000,8393f46d00050f64
1771966316910339937,train,1083486419,2571942,2692687879,51200,102400,0.50000000,5f9a191e3a57f857
1771966319885969847,train,108672114,3026263,2694653237,51200,102400,0.50000000,e1dc663c87bfafc1
1771966322848997081,train,1105906805,2571021,2687681326,51200,102400,0.50000000,7d2be53426258c8c
1771966325848712866,train,1108059824,2484268,2710896407,51200,102400,0.50000000,162bc39f975fd56b
1771966328801152458,train,110997297,2854799,2685742284,51200,102400,0.50000000,18bb4cfd00ee4b66
1771966331820038180,train,1113943087,3214701,2728199310,51200,102400,0.50000000,ae533206d5872448
1771966334835707016,train,1127903126,3643779,2694629487,51200,102400,0.50000000,d0c1bc51d8eb4ac2
1771966337814550147,train,1128635125,2357059,2699367054,51200,102400,0.50000000,7729ac905988b13a
1771966340815823473,train,114235076,2884508,2712137966,51200,102400,0.50000000,2d9c18da48dce15c
1771966342412196756,train,11460685,2680788,1424781801,32768,65536,0.50000000,3b03fc063b09e6de
1771966345419736866,train,1154777170,2307477,2724854480,51200,102400,0.50000000,22e1c22f8b5fa335
1771966348423710319,train,1156808983,2946549,2715276986,51200,102400,0.50000000,dd6786e650d091ea
1771966351389550552,train,1157445126,3303846,2688375470,51200,102400,0.50000000,d7563a6daf2f1ee4
1771966354406794898,train,1159818141,1405201,2742917534,51200,102400,0.50000000,cb03e4cc4a29a228
1771966357385925792,train,11630450,3234875,2704306101,51200,102400,0.50000000,6914ef91805a1a85
1771966360362894997,train,1168011639,3162242,2699054134,51200,102400,0.50000000,f70147cddbf9be1b
1771966363355743097,train,1176487902,2747600,2705900733,51200,102400,0.50000000,52055730f149a633
1771966366361790737,train,118041886,3351470,2729037021,51200,102400,0.50000000,e6644aef4e08bd5d
1771966369384729963,train,1182039038,2854104,2750326495,51200,102400,0.50000000,71b987d53fb0fa12
1771966372410512042,train,118632705,2388139,2736645820,51200,102400,0.50000000,b7cfe26e70b53cbd
1771966375376766502,train,1186499682,4388526,2682919850,51200,102400,0.50000000,0a8f3d03abfe441a
1771966378389172405,train,1189767014,3191128,2729002253,51200,102400,0.50000000,f3a430e41faf6082
1771966381383199475,train,1200862647,2428645,2710855753,51200,102400,0.50000000,42f66a44a2e24dca
1771966384384672391,train,1201940326,3649901,2716385592,51200,102400,0.50000000,4992a2244c84126e
1771966387382043822,train,1204899528,2644533,2718523727,51200,102400,0.50000000,b262a48f4f971fdb
1771966390377999661,train,1208001693,2634466,2715618748,51200,102400,0.50000000,a42463a244a7b9b3
1771966393367395256,train,1210295426,3100684,2708103657,51200,102400,0.50000000,e34b031502b1fbc8
1771966396379138090,train,1210615920,2918052,2723626372,51200,102400,0.50000000,6d81cbdd6603687b
1771966399337210977,train,1210927642,2196460,2686099166,51200,102400,0.50000000,cbd2f3fdbf083a14
1771966402388470394,train,1215679884,2600228,2740740892,51200,102400,0.50000000,2f70b8744c4f291d
1771966405357360399,train,1219581388,2763786,2678689615,51200,102400,0.50000000,7db8c8ab3395d187
1771966408342860988,train,1230055797,1215757,2714593048,51200,102400,0.50000000,40d79e192cca21c4
