z,our_nonzero,comp_nonzero,our_density,comp_density,abs_density_diff,xor_nonzero
0,0,0,0.000000000000,0.000000000000,0.000000000000,0
1,0,0,0.000000000000,0.000000000000,0.000000000000,0
2,0,0,0.000000000000,0.000000000000,0.000000000000,0
3,8702,8758,0.084980468750,0.085527343750,0.000546875000,68
4,8703,8783,0.084990234375,0.085771484375,0.000781250000,92
5,8724,8791,0.085195312500,0.085849609375,0.000654296875,83
6,8728,8806,0.085234375000,0.085996093750,0.000761718750,96
7,8712,8797,0.085078125000,0.085908203125,0.000830078125,95
8,8713,8772,0.085087890625,0.085664062500,0.000576171875,73
9,8678,8756,0.084746093750,0.085507812500,0.000761718750,86
10,8648,8699,0.084453125000,0.084951171875,0.000498046875,83
11,8617,8680,0.084150390625,0.084765625000,0.000615234375,71
12,8559,8611,0.083583984375,0.084091796875,0.000507812500,56
13,8477,8547,0.082783203125,0.083466796875,0.000683593750,80
14,8420,8469,0.082226562500,0.082705078125,0.000478515625,59
15,8392,8440,0.081953125000,0.082421875000,0.000468750000,56
16,8421,8460,0.082236328125,0.082617187500,0.000380859375,57
17,8383,8437,0.081865234375,0.082392578125,0.000527343750,70
18,8406,8462,0.082089843750,0.082636718750,0.000546875000,60
19,8416,8465,0.082187500000,0.082666015625,0.000478515625,53
20,8428,8483,0.082304687500,0.082841796875,0.000537109375,59
21,8440,8494,0.082421875000,0.082949218750,0.000527343750,62
22,8463,8526,0.082646484375,0.083261718750,0.000615234375,71
23,8417,8477,0.082197265625,0.082783203125,0.000585937500,64
24,8465,8519,0.082666015625,0.083193359375,0.000527343750,60
25,8462,8511,0.082636718750,0.083115234375,0.000478515625,53
26,8403,8457,0.082060546875,0.082587890625,0.000527343750,60
27,8385,8436,0.081884765625,0.082382812500,0.000498046875,53
28,8376,8431,0.081796875000,0.082333984375,0.000537109375,55
29,8409,8455,0.082119140625,0.082568359375,0.000449218750,52
30,8349,8402,0.081533203125,0.082050781250,0.000517578125,57
31,8359,8408,0.081630859375,0.082109375000,0.000478515625,53
32,8334,8390,0.081386718750,0.081933593750,0.000546875000,64
33,8375,8417,0.081787109375,0.082197265625,0.000410156250,48
34,8331,8384,0.081357421875,0.081875000000,0.000517578125,59
35,8343,8388,0.081474609375,0.081914062500,0.000439453125,51
36,8297,8346,0.081025390625,0.081503906250,0.000478515625,55
37,8278,8323,0.080839843750,0.081279296875,0.000439453125,47
38,8219,8273,0.080263671875,0.080791015625,0.000527343750,54
39,8193,8241,0.080009765625,0.080478515625,0.000468750000,50
40,8139,8185,0.079482421875,0.079931640625,0.000449218750,52
41,8072,8125,0.078828125000,0.079345703125,0.000517578125,55
42,8050,8101,0.078613281250,0.079111328125,0.000498046875,55
43,8028,8073,0.078398437500,0.078837890625,0.000439453125,49
44,8023,8072,0.078349609375,0.078828125000,0.000478515625,55
45,8040,8088,0.078515625000,0.078984375000,0.000468750000,58
46,8030,8074,0.078417968750,0.078847656250,0.000429687500,52
47,8003,8039,0.078154296875,0.078505859375,0.000351562500,42
48,8014,8067,0.078261718750,0.078779296875,0.000517578125,55
49,7990,8038,0.078027343750,0.078496093750,0.000468750000,52
50,7985,8042,0.077978515625,0.078535156250,0.000556640625,61
51,7987,8029,0.077998046875,0.078408203125,0.000410156250,48
52,7983,8026,0.077958984375,0.078378906250,0.000419921875,45
53,8007,8055,0.078193359375,0.078662109375,0.000468750000,50
54,8021,8075,0.078330078125,0.078857421875,0.000527343750,60
55,7992,8037,0.078046875000,0.078486328125,0.000439453125,55
56,8012,8063,0.078242187500,0.078740234375,0.000498046875,59
57,8028,8079,0.078398437500,0.078896484375,0.000498046875,55
58,8019,8061,0.078310546875,0.078720703125,0.000410156250,44
59,8049,8090,0.078603515625,0.079003906250,0.000400390625,43
60,8072,8117,0.078828125000,0.079267578125,0.000439453125,49
61,8056,8117,0.078671875000,0.079267578125,0.000595703125,61
62,8059,8111,0.078701171875,0.079208984375,0.000507812500,58
63,8057,8107,0.078681640625,0.079169921875,0.000488281250,54
64,8063,8126,0.078740234375,0.079355468750,0.000615234375,67
65,8088,8147,0.078984375000,0.079560546875,0.000576171875,67
66,8086,8165,0.078964843750,0.079736328125,0.000771484375,85
67,8115,8194,0.079248046875,0.080019531250,0.000771484375,83
68,8107,8180,0.079169921875,0.079882812500,0.000712890625,79
69,8126,8200,0.079355468750,0.080078125000,0.000722656250,74
70,8141,8207,0.079501953125,0.080146484375,0.000644531250,70
71,8134,8201,0.079433593750,0.080087890625,0.000654296875,67
72,8151,8212,0.079599609375,0.080195312500,0.000595703125,63
73,8168,8240,0.079765625000,0.080468750000,0.000703125000,78
74,8190,8247,0.079980468750,0.080537109375,0.000556640625,61
75,8176,8246,0.079843750000,0.080527343750,0.000683593750,70
76,8198,8270,0.080058593750,0.080761718750,0.000703125000,74
77,8182,8265,0.079902343750,0.080712890625,0.000810546875,83
78,8210,8282,0.080175781250,0.080878906250,0.000703125000,72
79,8226,8291,0.080332031250,0.080966796875,0.000634765625,71
80,8253,8320,0.080595703125,0.081250000000,0.000654296875,73
81,8282,8370,0.080878906250,0.081738281250,0.000859375000,96
82,8327,8392,0.081318359375,0.081953125000,0.000634765625,69
83,8353,8419,0.081572265625,0.082216796875,0.000644531250,70
84,8381,8432,0.081845703125,0.082343750000,0.000498046875,57
85,8394,8465,0.081972656250,0.082666015625,0.000693359375,77
86,8437,8492,0.082392578125,0.082929687500,0.000537109375,61
87,8423,8507,0.082255859375,0.083076171875,0.000820312500,90
88,8475,8529,0.082763671875,0.083291015625,0.000527343750,62
89,8500,8563,0.083007812500,0.083623046875,0.000615234375,75
90,8510,8584,0.083105468750,0.083828125000,0.000722656250,82
91,8620,8769,0.084179687500,0.085634765625,0.001455078125,155
92,8251,8334,0.080576171875,0.081386718750,0.000810546875,93
93,8238,8304,0.080449218750,0.081093750000,0.000644531250,76
94,8225,8304,0.080322265625,0.081093750000,0.000771484375,85
95,8220,8318,0.080273437500,0.081230468750,0.000957031250,112
96,8270,8350,0.080761718750,0.081542968750,0.000781250000,86
97,8291,8357,0.080966796875,0.081611328125,0.000644531250,70
98,8310,8406,0.081152343750,0.082089843750,0.000937500000,96
99,8338,8421,0.081425781250,0.082236328125,0.000810546875,89
100,8366,8452,0.081699218750,0.082539062500,0.000839843750,88
101,8372,8475,0.081757812500,0.082763671875,0.001005859375,111
102,8387,8446,0.081904296875,0.082480468750,0.000576171875,65
103,8371,8469,0.081748046875,0.082705078125,0.000957031250,102
104,8337,8431,0.081416015625,0.082333984375,0.000917968750,96
105,8357,8434,0.081611328125,0.082363281250,0.000751953125,83
106,8345,8427,0.081494140625,0.082294921875,0.000800781250,84
107,8330,8424,0.081347656250,0.082265625000,0.000917968750,96
108,8324,8408,0.081289062500,0.082109375000,0.000820312500,86
109,8314,8394,0.081191406250,0.081972656250,0.000781250000,80
110,8282,8365,0.080878906250,0.081689453125,0.000810546875,85
111,8267,8347,0.080732421875,0.081513671875,0.000781250000,90
112,8221,8313,0.080283203125,0.081181640625,0.000898437500,92
113,8209,8316,0.080166015625,0.081210937500,0.001044921875,111
114,8199,8284,0.080068359375,0.080898437500,0.000830078125,89
115,8155,8242,0.079638671875,0.080488281250,0.000849609375,91
116,8105,8199,0.079150390625,0.080068359375,0.000917968750,98
117,8102,8198,0.079121093750,0.080058593750,0.000937500000,100
118,8071,8171,0.078818359375,0.079794921875,0.000976562500,104
119,8050,8145,0.078613281250,0.079541015625,0.000927734375,97
120,8043,8134,0.078544921875,0.079433593750,0.000888671875,91
121,8044,8151,0.078554687500,0.079599609375,0.001044921875,113
122,8071,8196,0.078818359375,0.080039062500,0.001220703125,127
123,8083,8216,0.078935546875,0.080234375000,0.001298828125,135
124,8135,8250,0.079443359375,0.080566406250,0.001123046875,115
125,8121,8229,0.079306640625,0.080361328125,0.001054687500,116
126,8110,8221,0.079199218750,0.080283203125,0.001083984375,119
127,8081,8192,0.078916015625,0.080000000000,0.001083984375,117
128,8064,8158,0.078750000000,0.079667968750,0.000917968750,100
129,8053,8142,0.078642578125,0.079511718750,0.000869140625,97
130,8037,8130,0.078486328125,0.079394531250,0.000908203125,105
131,8015,8086,0.078271484375,0.078964843750,0.000693359375,75
132,8024,8127,0.078359375000,0.079365234375,0.001005859375,105
133,7990,8077,0.078027343750,0.078876953125,0.000849609375,93
134,7979,8076,0.077919921875,0.078867187500,0.000947265625,97
135,7973,8070,0.077861328125,0.078808593750,0.000947265625,101
136,7962,8053,0.077753906250,0.078642578125,0.000888671875,95
137,7963,8058,0.077763671875,0.078691406250,0.000927734375,97
138,7964,8051,0.077773437500,0.078623046875,0.000849609375,89
139,7979,8085,0.077919921875,0.078955078125,0.001035156250,108
140,7971,8067,0.077841796875,0.078779296875,0.000937500000,102
141,7959,8062,0.077724609375,0.078730468750,0.001005859375,105
142,7960,8057,0.077734375000,0.078681640625,0.000947265625,99
143,7956,8050,0.077695312500,0.078613281250,0.000917968750,96
144,7944,8053,0.077578125000,0.078642578125,0.001064453125,115
145,7962,8081,0.077753906250,0.078916015625,0.001162109375,121
146,8006,8116,0.078183593750,0.079257812500,0.001074218750,112
147,8000,8119,0.078125000000,0.079287109375,0.001162109375,125
148,7890,8018,0.077050781250,0.078300781250,0.001250000000,138
149,7857,8005,0.076728515625,0.078173828125,0.001445312500,148
150,7850,7961,0.076660156250,0.077744140625,0.001083984375,113
151,7867,7987,0.076826171875,0.077998046875,0.001171875000,122
152,7855,7979,0.076708984375,0.077919921875,0.001210937500,126
153,7834,7970,0.076503906250,0.077832031250,0.001328125000,136
154,7822,7973,0.076386718750,0.077861328125,0.001474609375,151
155,7841,7961,0.076572265625,0.077744140625,0.001171875000,122
156,7891,8010,0.077060546875,0.078222656250,0.001162109375,121
157,7947,8082,0.077607421875,0.078925781250,0.001318359375,135
158,8031,8174,0.078427734375,0.079824218750,0.001396484375,143
159,8141,8312,0.079501953125,0.081171875000,0.001669921875,173
160,8494,8667,0.082949218750,0.084638671875,0.001689453125,179
161,8473,8659,0.082744140625,0.084560546875,0.001816406250,196
162,8536,8680,0.083359375000,0.084765625000,0.001406250000,170
163,8525,8667,0.083251953125,0.084638671875,0.001386718750,182
164,8612,8752,0.084101562500,0.085468750000,0.001367187500,190
165,8564,8723,0.083632812500,0.085185546875,0.001552734375,215
166,8618,8713,0.084160156250,0.085087890625,0.000927734375,193
167,8659,8739,0.084560546875,0.085341796875,0.000781250000,216
168,8643,8704,0.084404296875,0.085000000000,0.000595703125,201
169,8658,8721,0.084550781250,0.085166015625,0.000615234375,215
170,8649,8705,0.084462890625,0.085009765625,0.000546875000,204
171,8621,8663,0.084189453125,0.084599609375,0.000410156250,178
172,8582,8659,0.083808593750,0.084560546875,0.000751953125,207
173,8622,8678,0.084199218750,0.084746093750,0.000546875000,196
174,8643,8709,0.084404296875,0.085048828125,0.000644531250,224
175,8676,8753,0.084726562500,0.085478515625,0.000751953125,241
