step,energy,invariant_density,regime
0,1995.00,4950.0000,2
1,1990.00,4695.5000,2
2,1985.00,4226.6667,2
3,1980.00,3766.7500,2
4,1975.00,3380.8000,2
5,1970.00,3063.5000,2
6,1965.00,2795.5714,2
7,1960.00,2571.5000,2
8,1955.00,2380.5556,2
9,1950.00,2221.5000,2
10,1945.00,2080.9091,2
11,1940.00,1959.4167,2
12,1935.00,1850.9231,2
13,1930.00,1755.0714,2
14,1925.00,1669.6000,2
15,1920.00,1591.3750,2
16,1915.00,1520.7059,2
17,1910.00,1455.8333,2
18,1905.00,1396.1579,2
19,1900.00,1340.7000,2
20,1895.00,1289.8571,2
21,1890.00,1242.8636,2
22,1885.00,1198.6522,2
23,1880.00,1157.9167,2
24,1875.00,1119.5200,2
25,1870.00,1083.1154,2
26,1865.00,1049.6667,2
27,1860.00,1018.1071,2
28,1855.00,989.1379,2
29,1850.00,962.6667,2
30,1845.00,936.7097,2
31,1840.00,911.8438,2
32,1835.00,888.0000,2
33,1830.00,865.5294,2
34,1825.00,844.1429,2
35,1820.00,824.3611,2
36,1815.00,805.2703,2
37,1810.00,787.1579,2
38,1805.00,769.6923,2
39,1800.00,753.1250,2
40,1795.00,737.2439,2
41,1790.00,721.8095,2
42,1785.00,707.1163,2
43,1780.00,693.2273,2
44,1775.00,679.6000,2
45,1770.00,666.4783,2
46,1765.00,653.9362,2
47,1760.00,642.0833,2
48,1755.00,630.4898,2
49,1750.00,619.1800,2
50,1745.00,608.3725,2
51,1740.00,597.8846,2
52,1735.00,587.8679,2
53,1730.00,578.0556,2
54,1725.00,568.4727,2
55,1720.00,559.2500,2
56,1715.00,550.1930,2
57,1710.00,541.6034,2
58,1705.00,533.1695,2
59,1700.00,525.0500,2
60,1695.00,517.1803,2
61,1690.00,509.7903,2
62,1685.00,502.6349,2
63,1680.00,495.7344,2
64,1675.00,488.8462,2
65,1670.00,481.9697,2
66,1665.00,475.3433,2
67,1660.00,468.9118,2
68,1655.00,462.7826,2
69,1650.00,456.6571,2
70,1645.00,450.7606,2
71,1640.00,444.9861,2
72,1635.00,439.3425,2
73,1630.00,433.8784,2
74,1625.00,428.5600,2
75,1620.00,423.4079,2
76,1615.00,418.3247,2
77,1610.00,413.4231,2
78,1605.00,408.6962,2
79,1600.00,404.0250,2
80,1595.00,399.4815,2
81,1590.00,395.0366,2
82,1585.00,390.6747,2
83,1580.00,386.3810,2
84,1575.00,382.2353,2
85,1570.00,378.1744,2
86,1565.00,374.2069,2
87,1560.00,370.2955,2
88,1555.00,366.4045,2
89,1550.00,362.5889,2
90,1545.00,358.9011,2
91,1540.00,355.2609,2
92,1535.00,351.7204,2
93,1530.00,348.2660,2
94,1525.00,344.8421,2
95,1520.00,341.5729,2
96,1515.00,338.2990,2
97,1510.00,335.0918,2
98,1505.00,332.0202,2
99,1500.00,328.9600,2
100,1495.00,326.0594,2
101,1490.00,323.1569,2
102,1485.00,320.2718,2
103,1480.00,317.3654,2
104,1475.00,314.5714,2
105,1470.00,311.7547,2
106,1465.00,309.0187,2
107,1460.00,306.3333,2
108,1455.00,303.6514,2
109,1450.00,301.0182,2
110,1445.00,298.4144,2
111,1440.00,295.8214,2
112,1435.00,293.3186,2
113,1430.00,290.8333,2
114,1425.00,288.4783,2
115,1420.00,286.1810,2
116,1415.00,283.8803,2
117,1410.00,281.6271,2
118,1405.00,279.4202,2
119,1400.00,277.2250,2
120,1395.00,275.0744,2
121,1390.00,272.9016,2
122,1385.00,270.7805,2
123,1380.00,268.6532,2
124,1375.00,266.5840,2
125,1370.00,264.5873,2
126,1365.00,262.6220,2
127,1360.00,260.6562,2
128,1355.00,258.7287,2
129,1350.00,256.8154,2
130,1345.00,254.9695,2
131,1340.00,253.1667,2
132,1335.00,251.3609,2
133,1330.00,249.5746,2
134,1325.00,247.8000,2
135,1320.00,246.0588,2
136,1315.00,244.3066,2
137,1310.00,242.6087,2
138,1305.00,240.9281,2
139,1300.00,239.2929,2
140,1295.00,237.6738,2
141,1290.00,236.0845,2
142,1285.00,234.5385,2
143,1280.00,233.0069,2
144,1275.00,231.4897,2
145,1270.00,230.0000,2
146,1265.00,228.5510,2
147,1260.00,227.0676,2
148,1255.00,225.6577,2
149,1250.00,224.2533,2
150,1245.00,222.8543,2
151,1240.00,221.4868,2
152,1235.00,220.0915,2
153,1230.00,218.7273,2
154,1225.00,217.3548,2
155,1220.00,216.0000,2
156,1215.00,214.6688,2
157,1210.00,213.3734,2
158,1205.00,212.0943,2
159,1200.00,210.8812,2
160,1195.00,209.6832,2
161,1190.00,208.5247,2
162,1185.00,207.3436,2
163,1180.00,206.1646,2
164,1175.00,204.9636,2
165,1170.00,203.7952,2
166,1165.00,202.6168,2
167,1160.00,201.4702,2
168,1155.00,200.3669,2
169,1150.00,199.2882,2
170,1145.00,198.1871,2
171,1140.00,197.1047,2
172,1135.00,196.0116,2
173,1130.00,194.9310,2
174,1125.00,193.8914,2
175,1120.00,192.8750,2
176,1115.00,191.8588,2
177,1110.00,190.8315,2
178,1105.00,189.8268,2
179,1100.00,188.8444,2
180,1095.00,187.8398,2
181,1090.00,186.8626,2
182,1085.00,185.8907,2
183,1080.00,184.9457,2
184,1075.00,184.0216,2
185,1070.00,183.1183,2
186,1065.00,182.2193,2
187,1060.00,181.3457,2
188,1055.00,180.4392,2
189,1050.00,179.5316,2
190,1045.00,178.6335,2
191,1040.00,177.7396,2
192,1035.00,176.8653,2
193,1030.00,175.9897,2
194,1025.00,175.1231,2
195,1020.00,174.2704,2
196,1015.00,173.4264,2
197,1010.00,172.5960,2
198,1005.00,171.7688,2
199,1000.00,170.9400,2
200,995.00,170.1095,2
201,990.00,10.0000,1
202,985.00,10.5000,1
203,980.00,10.3333,1
204,975.00,9.5000,1
205,970.00,8.4000,1
206,965.00,7.5000,1
207,960.00,7.2857,1
208,955.00,7.6250,1
209,950.00,7.3333,1
210,945.00,6.8000,1
211,940.00,6.9091,1
212,935.00,6.6667,1
213,930.00,6.4615,1
