timestamp_ns,n_value,omega,merkle
1770039210881700036,370370368,0.5,0x700036
1770039210881714066,185185184,0.333333,0x714066
1770039210881716016,92592592,0.25,0x716016
1770039210881716266,46296296,0.2,0x716266
1770039210881716356,23148148,0.166667,0x716356
1770039210881716556,11574074,0.142857,0x716556
1770039210881716606,5787037,0.125,0x716606
1770039210881716666,17361112,0.111111,0x716666
1770039210881716726,8680556,0.1,0x716726
1770039210881721866,4340278,0.0909091,0x721866
1770039210881721926,2170139,0.0833333,0x721926
1770039210881721986,6510418,0.0769231,0x721986
1770039210881722036,3255209,0.0714286,0x722036
1770039210881722096,9765628,0.0666667,0x722096
1770039210881722166,4882814,0.0625,0x722166
1770039210881722226,2441407,0.0588235,0x722226
1770039210881722286,7324222,0.0555556,0x722286
1770039210881722846,3662111,0.0526316,0x722846
1770039210881722906,10986334,0.05,0x722906
1770039210881722966,5493167,0.047619,0x722966
1770039210881723016,16479502,0.0454545,0x723016
1770039210881723076,8239751,0.0434783,0x723076
1770039210881723136,24719254,0.0416667,0x723136
1770039210881723186,12359627,0.04,0x723186
1770039210881723246,37078882,0.0384615,0x723246
1770039210881723306,18539441,0.037037,0x723306
1770039210881723356,55618324,0.0357143,0x723356
1770039210881723416,27809162,0.0344828,0x723416
1770039210881723476,13904581,0.0333333,0x723476
1770039210881723526,41713744,0.0322581,0x723526
1770039210881723586,20856872,0.03125,0x723586
1770039210881723646,10428436,0.030303,0x723646
1770039210881723696,5214218,0.0294118,0x723696
1770039210881726886,2607109,0.0285714,0x726886
1770039210881726956,7821328,0.0277778,0x726956
1770039210881727006,3910664,0.027027,0x727006
1770039210881727066,1955332,0.0263158,0x727066
1770039210881727126,977666,0.025641,0x727126
1770039210881727176,488833,0.025,0x727176
1770039210881727236,1466500,0.0243902,0x727236
1770039210881727296,733250,0.0238095,0x727296
1770039210881727346,366625,0.0232558,0x727346
1770039210881727406,1099876,0.0227273,0x727406
1770039210881727456,549938,0.0222222,0x727456
1770039210881727516,274969,0.0217391,0x727516
1770039210881727576,824908,0.0212766,0x727576
1770039210881727626,412454,0.0208333,0x727626
