idx,delta_ns
0,3350
1,2070
2,630
3,220
4,240
5,440
6,180
7,170
8,140
9,530
10,120
11,140
12,120
13,120
14,110
15,120
16,180
17,230
18,150
19,140
20,150
21,140
22,140
23,140
24,130
25,390
26,130
27,130
28,120
29,120
30,120
31,130
32,320
33,630
34,160
35,150
36,140
37,150
38,130
39,140
40,340
41,670
42,160
43,310
44,140
45,160
46,150
47,150
48,140
49,130
50,150
51,140
52,140
53,490
54,220
55,150
56,140
57,190
58,220
59,140
60,140
61,140
62,140
63,150
64,150
65,510
66,180
67,160
68,140
69,160
70,140
71,140
72,150
73,140
74,140
75,140
76,320
77,1640
78,170
79,140
80,140
81,150
82,200
83,200
84,140
85,140
86,140
87,120
88,130
89,110
90,120
91,110
92,120
93,400
94,130
95,120
96,110
97,120
98,120
99,120
100,120
101,120
102,130
103,110
104,120
105,120
106,120
107,120
108,110
109,170
110,120
111,130
112,140
113,140
114,140
115,140
116,140
117,140
118,170
119,230
120,160
121,150
122,130
123,140
124,120
125,110
126,120
127,110
128,140
129,210
130,140
131,140
132,150
133,130
134,130
135,140
136,140
137,130
138,160
139,120
140,160
141,130
142,150
143,140
144,160
145,140
146,140
147,150
148,130
149,220
150,130
151,140
152,120
153,140
154,130
155,140
156,140
157,130
158,120
159,130
160,140
161,310
162,140
163,140
164,140
165,160
166,150
167,140
168,150
169,140
170,140
171,130
172,150
173,470
174,140
175,180
176,150
177,150
178,150
179,140
180,300
181,140
182,170
183,140
184,140
185,150
186,140
187,150
188,140
189,140
190,300
191,140
192,150
193,150
194,150
195,140
196,310
197,140
198,160
199,150
200,150
201,210
202,140
203,140
204,140
205,140
206,150
207,140
208,150
209,250
210,150
211,160
212,140
213,200
214,200
215,160
216,130
217,140
218,140
219,150
220,150
221,140
222,130
223,140
224,140
225,140
226,140
227,140
228,140
229,160
230,230
231,150
232,140
233,250
234,230
235,140
236,160
237,140
238,140
239,140
240,140
241,140
242,140
243,150
244,150
245,130
246,140
247,170
248,140
249,140
250,140
251,140
252,170
253,230
254,140
255,140
256,240
257,260
258,210
259,190
260,160
261,160
262,160
263,210
264,230
265,160
266,160
267,160
268,150
269,320
270,210
271,180
272,180
273,160
274,160
275,150
276,150
277,160
278,160
279,180
280,230
281,160
282,170
283,160
284,160
285,160
286,160
287,320
288,160
289,190
290,160
291,160
292,170
293,160
294,160
295,210
296,230
297,160
298,160
299,160
300,160
301,170
302,250
303,180
304,160
305,160
306,150
307,160
308,160
309,640
310,250
311,180
312,160
313,150
314,160
315,160
316,170
317,160
318,140
319,340
320,170
321,170
322,150
323,170
324,170
325,160
326,160
327,180
328,260
329,160
330,150
331,170
332,150
333,160
334,190
335,230
336,170
337,150
338,150
339,160
340,150
341,160
342,160
343,160
344,160
345,140
346,150
347,130
348,130
349,140
350,130
351,140
352,360
353,270
354,190
355,180
356,160
357,170
358,160
359,160
360,160
361,320
362,160
363,170
364,170
365,170
366,160
367,350
368,160
369,180
370,170
371,160
372,160
373,160
374,160
375,160
376,160
377,160
378,240
379,250
380,180
381,160
382,240
383,220
384,150
385,160
386,150
387,160
388,160
389,160
390,240
391,210
392,160
393,140
394,160
395,160
396,160
397,160
398,330
399,160
400,170
401,750
402,170
403,220
404,230
405,150
406,160
407,270
408,330
409,160
410,170
411,160
412,160
413,170
414,160
415,170
416,160
417,310
418,170
419,160
420,170
421,160
422,160
423,150
424,160
425,190
426,150
427,170
428,160
429,150
430,170
431,160
432,250
433,210
434,160
435,160
436,260
437,200
438,160
439,160
440,160
441,170
442,160
443,170
444,280
445,170
446,160
447,150
448,160
449,160
450,160
451,160
452,150
453,160
454,160
455,140
456,330
457,270
458,180
459,170
460,160
461,160
462,170
463,160
464,160
465,160
466,310
467,170
468,170
469,170
470,160
471,170
472,340
473,170
474,170
475,180
476,160
477,160
478,160
479,160
480,170
481,160
482,160
483,230
484,200
485,170
486,160
487,230
488,210
489,190
490,150
491,170
492,170
493,170
494,200
495,280
496,170
497,150
498,160
499,160
500,160
501,160
502,170
503,180
504,250
505,170
506,170
507,160
508,150
509,150
510,190
511,240
512,160
513,160
514,150
515,170
516,150
517,160
518,160
519,180
520,160
521,930
522,160
523,170
524,340
525,160
526,160
527,170
528,160
529,160
530,160
531,160
532,320
533,170
534,150
535,170
536,150
537,150
538,190
539,220
540,170
541,170
542,150
543,140
544,140
545,130
546,130
547,150
548,140
549,130
550,140
551,160
552,150
553,160
554,160
555,150
556,170
557,260
558,170
559,170
560,150
561,160
562,140
563,140
564,130
565,150
566,160
567,150
568,160
569,160
570,340
571,160
572,150
573,170
574,170
575,160
576,150
577,170
578,320
579,170
580,160
581,160
582,150
583,160
584,160
585,290
586,180
587,150
588,160
589,150
590,160
591,150
592,160
593,360
594,160
595,330
596,170
597,170
598,170
599,160
600,160
601,170
602,170
603,420
604,150
605,190
606,170
607,170
608,160
609,150
610,140
611,160
612,150
613,160
614,160
615,170
616,170
617,180
618,240
619,170
620,160
621,200
622,220
623,170
624,160
625,170
626,170
627,160
628,150
629,260
630,210
631,180
632,150
633,160
634,160
635,150
636,170
637,160
638,150
639,150
640,350
641,160
642,160
643,160
644,160
645,170
646,160
647,160
648,200
649,220
650,150
651,150
652,160
653,150
654,160
655,160
656,130
657,150
658,160
659,150
660,160
661,160
662,160
663,160
664,160
665,220
666,230
667,160
668,160
669,200
670,210
671,170
672,150
673,390
674,160
675,170
676,220
677,210
678,160
679,160
680,150
681,160
682,160
683,160
684,150
685,150
686,210
687,230
688,160
689,160
690,150
691,140
692,130
693,140
694,130
695,130
696,140
697,130
698,130
699,130
700,130
701,130
702,170
703,160
704,150
705,150
706,340
707,170
708,180
709,160
710,180
711,170
712,160
713,160
714,130
715,130
716,130
717,140
718,130
719,310
720,170
721,160
722,170
723,170
724,160
725,160
726,160
727,160
728,150
729,160
730,320
731,170
732,180
733,160
734,160
735,330
736,150
737,160
738,170
739,170
740,160
741,160
742,170
743,160
744,160
745,160
746,160
747,310
748,170
749,190
750,260
751,170
752,150
753,160
754,160
755,170
756,150
757,200
758,250
759,170
760,160
761,340
762,150
763,250
764,220
765,160
766,150
767,150
768,130
769,140
770,130
771,130
772,130
773,140
774,120
775,130
776,140
777,130
778,130
779,130
780,130
781,140
782,130
783,130
784,150
785,160
786,160
787,160
788,150
789,160
790,180
791,240
792,160
793,150
794,150
795,160
796,160
797,150
798,160
799,160
800,130
801,140
802,130
803,140
804,130
805,130
806,130
807,140
808,130
809,320
810,170
811,160
812,160
813,170
814,160
815,160
816,170
817,160
818,160
819,160
820,150
821,150
822,150
823,160
824,160
825,160
826,150
827,160
828,160
829,160
830,160
831,160
832,160
833,150
834,150
835,160
836,150
837,330
838,160
839,160
840,180
841,170
842,160
843,160
844,160
845,390
846,160
847,170
848,170
849,170
850,160
851,320
852,160
853,180
854,170
855,170
856,160
857,150
858,160
859,150
860,160
861,1160
862,160
863,250
864,180
865,160
866,150
867,160
868,160
869,160
870,160
871,240
872,180
873,170
874,150
875,160
876,160
877,190
878,280
879,160
880,160
881,160
882,150
883,160
884,150
885,140
886,130
887,140
888,150
889,160
890,210
891,250
892,160
893,150
894,160
895,160
896,150
897,160
898,330
899,170
900,170
901,170
902,170
903,160
904,160
905,170
906,250
907,170
908,160
909,160
910,150
911,170
912,160
913,320
914,170
915,160
916,180
917,160
918,160
919,170
920,160
921,150
922,160
923,320
924,160
925,180
926,170
927,160
928,160
929,320
930,170
931,160
932,170
933,160
934,160
935,170
936,160
937,150
938,160
939,160
940,270
941,180
942,170
943,160
944,230
945,200
946,160
947,160
948,150
949,160
950,170
951,160
952,220
953,220
954,150
955,160
956,150
957,140
958,130
959,130
960,140
961,130
962,130
963,160
964,320
965,160
966,180
967,170
968,160
969,160
970,160
971,150
972,140
973,250
974,330
975,180
976,180
977,170
978,170
979,160
980,330
981,170
982,180
983,180
984,160
985,160
986,150
987,160
988,160
989,150
990,170
991,160
992,160
