problem,step,energy,pairing,sign_ratio,cpu_percent,mem_percent,elapsed_ns
hubbard_hts_core,0,-16.6123536317,63.7374211456,0.1250000000,14.82,3.35,418537
hubbard_hts_core,100,-1520.5716035174,6295.7984148564,0.0157797030,14.82,3.35,28634790
hubbard_hts_core,200,-2852.5504458549,12411.6164480686,0.0062189055,14.82,3.35,56941011
hubbard_hts_core,300,-4011.0426391612,18465.8606849499,0.0037375415,14.82,3.35,84681930
hubbard_hts_core,400,-4896.5197288880,24425.6689246121,0.0068578554,14.82,3.35,112686368
hubbard_hts_core,500,-5381.1805364356,30289.1428005005,0.0019960080,14.83,3.35,140326783
hubbard_hts_core,600,-5756.6145438774,36112.8550647766,0.0009879368,14.83,3.35,168063248
hubbard_hts_core,700,-5921.5325186569,41921.5521978385,-0.0017385877,14.83,3.35,195659204
hubbard_hts_core,800,-5834.8366777825,47670.2599309864,-0.0016385768,14.83,3.35,223149590
hubbard_hts_core,900,-5406.1741687111,53336.5515063146,-0.0023931743,14.83,3.35,250667778
hubbard_hts_core,1000,-4809.3088276766,58976.3619668489,-0.0031530969,14.84,3.35,278088958
hubbard_hts_core,1100,-4134.8880953298,64588.0069402311,-0.0028950954,14.84,3.35,305788161
hubbard_hts_core,1200,-3232.6903760391,70168.4533028190,-0.0034346378,14.84,3.35,335912280
hubbard_hts_core,1300,-2400.6934880976,75762.5634612219,-0.0039392775,14.84,3.35,365099505
hubbard_hts_core,1400,-1515.3904457485,81367.2921050465,-0.0044610992,14.84,3.35,394075256
hubbard_hts_core,1500,-384.2435913248,86942.3613471825,-0.0051007662,14.85,3.35,423286084
hubbard_hts_core,1600,738.2563941342,92552.9271086810,-0.0040404435,14.85,3.35,452073597
hubbard_hts_core,1700,1958.9803722939,98146.2344245303,-0.0040784832,14.85,3.35,480900134
hubbard_hts_core,1800,3281.4134207767,103713.3653257801,-0.0034702943,14.85,3.35,511571594
hubbard_hts_core,1900,4854.8523493841,109219.9554271276,-0.0038302209,14.86,3.35,541054899
hubbard_hts_core,2000,6517.5760944085,114711.6162145698,-0.0036700400,14.86,3.35,568938649
hubbard_hts_core,2100,8330.0412914431,120183.3370679401,-0.0040159448,14.86,3.35,597033188
hubbard_hts_core,2200,10238.1293104685,125611.4390679289,-0.0038476829,14.86,3.35,625005785
hubbard_hts_core,2300,12187.6883202900,131016.6611238259,-0.0040199913,14.86,3.35,656396798
hubbard_hts_core,2400,14442.5215184849,136411.6121611163,-0.0041519159,14.87,3.35,684321713
hubbard_hts_core,2500,16902.2304055390,141784.7658930266,-0.0040733707,14.87,3.35,712011259
hubbard_hts_core,2600,19329.6712732572,147158.4712850941,-0.0040849673,14.87,3.35,739449146
hubbard_hts_core,2700,21742.7679850627,152521.6681911660,-0.0037139023,14.87,3.35,767249991
hubbard_hts_core,2800,24291.2848426425,157858.3781117972,-0.0041949304,14.88,3.35,794639761
hubbard_hts_core,2900,27005.1993970988,163181.1649359004,-0.0038564288,14.88,3.35,822599680
hubbard_hts_core,3000,30114.6357128423,168463.8366134989,-0.0032489170,14.88,3.35,850607638
hubbard_hts_core,3100,33682.4819720313,173716.2926996641,-0.0029123670,14.88,3.35,877939134
hubbard_hts_core,3200,37142.6040783644,178995.8685864779,-0.0034950016,14.88,3.35,905507133
hubbard_hts_core,3300,40995.3594618014,184255.6285340170,-0.0032471221,14.89,3.35,933285611
hubbard_hts_core,3400,44946.9980079933,189493.9245816795,-0.0030873273,14.89,3.35,961794360
qcd_lattice_proxy,0,-8.5851100921,47.7144769883,0.0000000000,14.89,3.35,319987
qcd_lattice_proxy,100,-753.1044659856,4669.1990271750,-0.0255775578,14.89,3.35,28022298
qcd_lattice_proxy,200,-1316.0407832836,9144.6085178145,-0.0107794362,14.89,3.35,55421066
qcd_lattice_proxy,300,-1735.9858922818,13539.0711110739,-0.0112126246,14.90,3.35,83909635
qcd_lattice_proxy,400,-1988.2328431580,17878.5645544378,-0.0128844555,14.90,3.35,111593459
qcd_lattice_proxy,500,-2116.4282043691,22161.6636886359,-0.0068196939,14.90,3.35,139402681
qcd_lattice_proxy,600,-2091.8428445640,26369.5678269269,-0.0094980588,14.90,3.35,167230734
qcd_lattice_proxy,700,-1893.3658684046,30531.4781972009,-0.0060033286,14.90,3.35,195612754
qcd_lattice_proxy,800,-1668.7089029008,34674.1513231265,-0.0067103620,14.91,3.35,223458973
qcd_lattice_proxy,900,-1396.8717750711,38807.6591535021,-0.0063355531,14.91,3.35,251282304
qcd_lattice_proxy,1000,-1164.2508026307,42961.8614162655,-0.0063270063,14.91,3.35,280070591
qcd_lattice_proxy,1100,-618.5509495371,47049.0336337051,-0.0068119891,14.91,3.35,309000368
qcd_lattice_proxy,1200,152.4307443561,51097.7182757768,-0.0061407161,14.91,3.35,338584962
qcd_lattice_proxy,1300,1181.5753107422,55101.0880666724,-0.0069177556,14.92,3.35,368167685
qcd_lattice_proxy,1400,2075.0093031104,59127.6320153338,-0.0044610992,14.92,3.35,397218321
qcd_lattice_proxy,1500,2916.7207412919,63180.2986464953,-0.0040250944,14.92,3.35,425558522
qcd_lattice_proxy,1600,3971.3033146486,67182.9145261806,-0.0042681657,14.92,3.35,457209939
qcd_lattice_proxy,1700,5252.7685049010,71135.6125695806,-0.0038702724,14.93,3.35,488680678
qcd_lattice_proxy,1800,6661.5443370729,75043.7760498585,-0.0034702943,14.93,3.35,517593212
qcd_lattice_proxy,1900,8327.8799484603,78888.8600540324,-0.0030466421,14.93,3.35,546997619
qcd_lattice_proxy,2000,10123.3343398865,82711.9593035036,-0.0032483758,14.93,3.35,576986823
qcd_lattice_proxy,2100,11814.8237773001,86555.4357166412,-0.0015270506,14.93,3.35,606648920
qcd_lattice_proxy,2200,13610.6320348713,90392.4282643148,-0.0000946539,14.94,3.35,635539438
qcd_lattice_proxy,2300,15613.2396550360,94183.5291632497,-0.0003078372,14.94,3.35,664988851
qcd_lattice_proxy,2400,17610.0930594395,97971.1617652414,-0.0005379703,14.94,3.35,694208208
quantum_field_noneq,0,-11.4766568266,35.7362536340,0.1111111111,14.94,3.35,455638
quantum_field_noneq,100,-1153.7202474480,3511.1906804880,0.0319031903,14.94,3.35,28725276
quantum_field_noneq,200,-2214.9275073051,6864.6912923304,0.0176893311,14.95,3.35,58354253
quantum_field_noneq,300,-3244.7054163140,10174.9551233007,0.0114433370,14.95,3.35,88203996
quantum_field_noneq,400,-4192.8673308872,13434.7787169996,0.0081740094,14.95,3.35,118043724
quantum_field_noneq,500,-5035.8151614215,16596.7884811585,0.0111998226,14.95,3.35,147105050
quantum_field_noneq,600,-5725.9938728541,19649.4865381897,0.0077648364,14.96,3.35,176179140
quantum_field_noneq,700,-6271.4732155375,22629.3915160134,0.0070534158,14.96,3.35,205816122
quantum_field_noneq,800,-6634.8808661581,25520.8394905822,0.0083229297,14.96,3.35,235022727
quantum_field_noneq,900,-6864.4666584294,28372.7084444343,0.0104821803,14.96,3.35,263579008
quantum_field_noneq,1000,-7039.8491058629,31183.1414655442,0.0086025086,14.96,3.35,292247847
quantum_field_noneq,1100,-7052.1316573278,33953.0039041309,0.0081743869,14.97,3.35,320494692
quantum_field_noneq,1200,-6890.8366336534,36702.5807651663,0.0062447960,14.97,3.35,349015719
quantum_field_noneq,1300,-6540.9241472762,39436.5522891536,0.0073020753,14.97,3.35,377487716
quantum_field_noneq,1400,-5931.1399788663,42106.6329885724,0.0061860576,14.97,3.35,405488793
quantum_field_noneq,1500,-5385.9138542304,44790.2521898013,0.0043674587,14.98,3.35,434369489
quantum_field_noneq,1600,-4877.2980636728,47481.6546318749,0.0061766951,14.98,3.35,463473817
quantum_field_noneq,1700,-4288.3511395193,50151.0152335900,0.0044091711,14.98,3.35,491776505
quantum_field_noneq,1800,-3526.2769548491,52787.1215645545,0.0053982355,14.98,3.35,519970201
quantum_field_noneq,1900,-2570.0019106996,55396.2744870150,0.0052896137,14.98,3.35,548589984
quantum_field_noneq,2000,-1646.8170838552,57991.1972924718,0.0039147093,14.99,3.35,577593345
dense_nuclear_proxy,0,-10.9659882395,48.8173083320,0.1020408163,14.99,3.35,355077
dense_nuclear_proxy,100,-880.5694220747,4837.7584760982,-0.0014144272,14.99,3.35,29425189
dense_nuclear_proxy,200,-1558.1175785901,9542.1512402696,0.0025383288,14.99,3.35,57832172
dense_nuclear_proxy,300,-1971.5047886865,14180.6221062560,0.0041358736,14.99,3.35,86513384
dense_nuclear_proxy,400,-2165.2759022811,18764.8946081248,-0.0037152018,15.00,3.35,114918336
dense_nuclear_proxy,500,-2237.3174207464,23331.5542258180,-0.0061509634,15.00,3.35,143424018
dense_nuclear_proxy,600,-2099.8038261606,27866.9102134797,-0.0039050562,15.00,3.35,171468273
dense_nuclear_proxy,700,-1942.0080432558,32397.5758256344,-0.0045125040,15.00,3.35,199674572
dense_nuclear_proxy,800,-1430.0959335148,36872.6070539864,-0.0026752274,15.00,3.35,227329436
dense_nuclear_proxy,900,-670.4769096673,41328.6359757039,-0.0045980656,15.01,3.35,256116897
dense_nuclear_proxy,1000,425.6243665233,45742.4007529837,-0.0062998226,15.01,3.35,284388045
dense_nuclear_proxy,1100,1918.3378213563,50121.2415159250,-0.0054681273,15.01,3.35,312594323
dense_nuclear_proxy,1200,3549.5836344748,54500.9806264840,-0.0050468147,15.01,3.35,340220319
dense_nuclear_proxy,1300,5085.0460153786,58894.2685914760,-0.0048785079,15.01,3.35,369026019
dense_nuclear_proxy,1400,6664.8881334236,63294.1655947170,-0.0028405366,15.02,3.35,397660592
dense_nuclear_proxy,1500,8413.0951460029,67685.8068956483,-0.0045004011,15.02,3.35,425208710
dense_nuclear_proxy,1600,10278.4483643659,72066.7036854035,-0.0043467731,15.02,3.35,452996453
dense_nuclear_proxy,1700,12368.0247435593,76439.4677913384,-0.0059628790,15.02,3.35,481549156
dense_nuclear_proxy,1800,14723.1204875743,80786.7454268318,-0.0053145078,15.02,3.35,509425324
dense_nuclear_proxy,1900,17086.8194797223,85123.2167329529,-0.0058078992,15.03,3.35,536985376
dense_nuclear_proxy,2000,19793.9864055570,89437.7317098852,-0.0053952616,15.03,3.33,564729999
dense_nuclear_proxy,2100,22785.5479123046,93727.0116137760,-0.0053521647,15.03,3.33,593084675
quantum_chemistry_proxy,0,-8.9347457613,24.9442196895,-0.2800000000,15.03,3.33,341600
quantum_chemistry_proxy,100,-990.3138936440,2490.4427775678,-0.0526732673,15.04,3.33,28473610
quantum_chemistry_proxy,200,-1919.0224806682,4925.7617140871,-0.0427860697,15.04,3.33,56999636
quantum_chemistry_proxy,300,-2795.5117926845,7340.6077364278,-0.0338870432,15.04,3.33,84727662
