problem,proxy_energy,advanced_energy,delta_energy,delta_energy_pct,proxy_pairing,advanced_pairing,delta_pairing,delta_pairing_pct,proxy_elapsed_ns,advanced_elapsed_ns
bosonic_multimode_systems,-0.1387962827,-0.1387962827,0.0,0.0,0.9815672107,0.9815672107,0.0,0.0,1246100198,1095323274
correlated_fermions_non_hubbard,-0.2828047927,-0.2828047927,0.0,0.0,0.9875467237,0.9875467237,0.0,0.0,1204125852,1219270324
dense_nuclear_proxy,-0.1993679659,-0.1993679659,0.0,0.0,0.9873659155,0.9873659155,0.0,0.0,1027370008,1022887641
far_from_equilibrium_kinetic_lattices,-0.2513514897,-0.2513514897,0.0,0.0,0.9771803955,0.9771803955,0.0,0.0,1331159971,1165729208
hubbard_hts_core,-0.2274039308,-0.2274039308,0.0,0.0,0.9825997869,0.9825997869,0.0,0.0,1432021162,1419076166
multi_correlated_fermion_boson_networks,-0.2805718257,-0.2805718257,0.0,0.0,0.9816375261,0.9816375261,0.0,0.0,1496759146,1156728019
multi_state_excited_chemistry,-0.3835607367,-0.3835607367,0.0,0.0,0.9907362151,0.9907362151,0.0,0.0,1130044549,1133663751
multiscale_nonlinear_field_models,-0.3296984207,-0.3296984207,0.0,0.0,0.9762223671,0.9762223671,0.0,0.0,1314102033,1120018462
qcd_lattice_proxy,-0.1692257723,-0.1692257723,0.0,0.0,0.9786457069,0.9786457069,0.0,0.0,1116865160,1076904126
quantum_chemistry_proxy,-0.4188618139,-0.4188618139,0.0,0.0,0.9904861097,0.9904861097,0.0,0.0,1089191233,1095409534
quantum_field_noneq,-0.3212294395,-0.3212294395,0.0,0.0,0.9680319199,0.9680319199,0.0,0.0,1039426647,1027319120
spin_liquid_exotic,-0.2187209295,-0.2187209295,0.0,0.0,0.9904456618,0.9904456618,0.0,0.0,1325554452,1332831203
topological_correlated_materials,-0.2715374411,-0.2715374411,0.0,0.0,0.9877442499,0.9877442499,0.0,0.0,1264165687,1313214065
