problem,step,energy_norm,pairing_norm,sign_ratio,cpu_percent,mem_percent,elapsed_ns
hubbard_hts_core,700,-0.0013257136,0.9487944356,0.1200000000,0.00,0.00,586826149
hubbard_hts_core,1400,-0.0014116925,0.9450602751,-0.1400000000,0.00,0.00,1182848658
hubbard_hts_core,2100,-0.0016761310,0.9460944365,-0.2000000000,0.00,0.00,1774987787
hubbard_hts_core,2800,-0.0015721970,0.9454748316,-0.0600000000,0.00,0.00,2357221835
qcd_lattice_proxy,700,-0.0005285344,0.9163756887,0.0370370370,0.00,0.00,586305389
qcd_lattice_proxy,1400,-0.0005097159,0.9160051917,0.0864197531,0.00,0.00,1177206148
qcd_lattice_proxy,2100,-0.0007723358,0.9193577496,0.0123456790,0.00,0.00,1767350116
qcd_lattice_proxy,2200,-0.0007856067,0.9184249368,0.1358024691,0.00,0.00,1850409082
quantum_field_noneq,700,-0.0030650560,0.8804936098,-0.1562500000,0.00,0.00,596709770
quantum_field_noneq,1400,-0.0026898708,0.8885625847,0.2187500000,0.00,0.00,1220338080
quantum_field_noneq,2100,-0.0026475115,0.8911464267,0.0625000000,0.00,0.00,1793722379
quantum_field_noneq,2100,-0.0026475115,0.8911464267,0.0625000000,0.00,0.00,1779271447
dense_nuclear_proxy,700,-0.0005257811,0.9476931391,0.0277777778,0.00,0.00,587704819
dense_nuclear_proxy,1400,-0.0007630663,0.9510017424,0.2777777778,0.00,0.00,1179909417
dense_nuclear_proxy,2100,-0.0005504122,0.9473843708,-0.2777777778,0.00,0.00,1773639628
dense_nuclear_proxy,2100,-0.0005504122,0.9473843708,-0.2777777778,0.00,0.00,1770585226
quantum_chemistry_proxy,700,-0.0048813998,0.9570180350,-0.1428571429,0.00,0.00,587122019
quantum_chemistry_proxy,1400,-0.0057090928,0.9550721872,-0.1071428571,0.00,0.00,1176536098
quantum_chemistry_proxy,2100,-0.0051539586,0.9568018908,0.1428571429,0.00,0.00,1764210956
quantum_chemistry_proxy,2200,-0.0047258132,0.9554812886,-0.0357142857,0.00,0.00,1870503974
spin_liquid_exotic,700,-0.0010218190,0.9729883351,0.0166666667,0.00,0.00,596277899
spin_liquid_exotic,1400,-0.0010757212,0.9734756389,0.0333333333,0.00,0.00,1176807298
spin_liquid_exotic,2100,-0.0010524596,0.9725449780,-0.0666666667,0.00,0.00,1775799757
spin_liquid_exotic,2600,-0.0011563894,0.9735057030,-0.0333333333,0.00,0.00,2207130495
topological_correlated_materials,700,-0.0015261047,0.9648943717,-0.0082644628,0.00,0.00,622781091
topological_correlated_materials,1400,-0.0018301260,0.9636752863,0.0578512397,0.00,0.00,1225695581
topological_correlated_materials,2100,-0.0014947702,0.9638413458,-0.0082644628,0.00,0.00,1963232430
topological_correlated_materials,2500,-0.0015204925,0.9629125426,-0.0578512397,0.00,0.00,2877502220
correlated_fermions_non_hubbard,700,-0.0023122248,0.9537297740,0.1333333333,0.00,0.00,807575273
correlated_fermions_non_hubbard,1400,-0.0022187503,0.9522362705,-0.0444444444,0.00,0.00,1383203591
correlated_fermions_non_hubbard,2100,-0.0018661119,0.9505740105,0.1111111111,0.00,0.00,2011995593
correlated_fermions_non_hubbard,2400,-0.0024875599,0.9528633746,0.0666666667,0.00,0.00,2095268578
multi_state_excited_chemistry,700,-0.0035007905,0.9715891291,0.0864197531,0.00,0.00,589362469
multi_state_excited_chemistry,1400,-0.0037664303,0.9720806933,0.0123456790,0.00,0.00,1176194078
multi_state_excited_chemistry,2100,-0.0031845818,0.9688765497,0.1111111111,0.00,0.00,1764028426
multi_state_excited_chemistry,2300,-0.0032092795,0.9701869988,-0.1111111111,0.00,0.00,1963501970
bosonic_multimode_systems,700,-0.0008376028,0.9331000309,0.2250000000,0.00,0.00,616386391
bosonic_multimode_systems,1400,-0.0009476384,0.9356771733,-0.1000000000,0.00,0.00,1194961388
bosonic_multimode_systems,2100,-0.0009197945,0.9331110923,-0.1000000000,0.00,0.00,1754435236
bosonic_multimode_systems,2200,-0.0008964928,0.9322500191,-0.2500000000,0.00,0.00,1841042012
multiscale_nonlinear_field_models,700,-0.0023291954,0.9325330191,-0.0416666667,0.00,0.00,608540680
multiscale_nonlinear_field_models,1400,-0.0024537761,0.9269702067,0.0208333333,0.00,0.00,1238435102
multiscale_nonlinear_field_models,2100,-0.0026815590,0.9302875826,0.1041666667,0.00,0.00,1805875579
multiscale_nonlinear_field_models,2300,-0.0022863095,0.9319342661,-0.2291666667,0.00,0.00,1939762948
far_from_equilibr
