problem,step,energy,pairing,sign_ratio,cpu_percent,mem_percent,elapsed_ns
hubbard_hts_core,0,-0.2674682377,0.9969250665,0.0200000000,15.83,71.95,2052384
hubbard_hts_core,100,-0.1475168218,0.9469118920,0.0600000000,15.83,71.93,87612089
hubbard_hts_core,200,-0.1732010256,0.9464273436,-0.0200000000,15.83,71.93,171917622
hubbard_hts_core,300,-0.1545585907,0.9488937393,0.1200000000,15.83,71.93,257683397
hubbard_hts_core,400,-0.1503472047,0.9470806032,0.0000000000,15.83,71.93,341241459
hubbard_hts_core,500,-0.1776012519,0.9473908151,0.0000000000,15.83,71.92,425249571
hubbard_hts_core,600,-0.1534332189,0.9508530360,-0.0200000000,15.83,71.92,508678433
hubbard_hts_core,700,-0.1860711762,0.9524847456,-0.0200000000,15.83,71.92,592893226
hubbard_hts_core,800,-0.1902900473,0.9525485193,-0.2000000000,15.83,71.92,676277647
hubbard_hts_core,900,-0.1437479569,0.9509790751,0.1400000000,15.83,71.93,759775729
hubbard_hts_core,1000,-0.1683891420,0.9491680679,-0.0600000000,15.83,71.93,843783911
hubbard_hts_core,1100,-0.1751247044,0.9486966860,0.0200000000,15.83,71.93,926976782
hubbard_hts_core,1200,-0.2060543273,0.9461075515,0.1200000000,15.83,71.93,1010121313
hubbard_hts_core,1300,-0.1495479756,0.9480251917,-0.1200000000,15.83,71.93,1094180296
hubbard_hts_core,1400,-0.1762139896,0.9463751504,0.0600000000,15.83,71.93,1177590177
hubbard_hts_core,1500,-0.1936082888,0.9470856473,-0.1800000000,15.83,71.93,1260901009
hubbard_hts_core,1600,-0.1599436590,0.9471117010,-0.1000000000,15.83,71.93,1343934080
hubbard_hts_core,1700,-0.1738369827,0.9466013381,0.0600000000,15.83,71.92,1427223681
hubbard_hts_core,1800,-0.1840131042,0.9472570466,-0.0200000000,15.83,71.92,1510067331
hubbard_hts_core,1900,-0.1477643817,0.9469946099,-0.1400000000,15.83,71.92,1594118174
hubbard_hts_core,2000,-0.1663406250,0.9487905815,-0.1400000000,15.83,71.92,1677784616
hubbard_hts_core,2100,-0.1703150414,0.9491863732,0.0600000000,15.83,71.92,1760761617
hubbard_hts_core,2200,-0.1580347226,0.9496830575,0.0000000000,15.83,71.92,1844161278
hubbard_hts_core,2300,-0.1612104694,0.9534246846,-0.1000000000,15.83,71.92,1928072690
hubbard_hts_core,2400,-0.1838931210,0.9523204183,0.1800000000,15.83,71.93,2011105421
