problem,step,energy,pairing,sign_ratio,cpu_percent,mem_percent,elapsed_ns,norm_deviation,ema_abs_energy
hubbard_hts_core,0,1.9745923269,0.8661235790,0.0600000000,21.64,69.52,96670,2.2204460493e-16,0.0000000000
hubbard_hts_core,100,1.9828257763,0.8624306734,0.0800000000,21.64,69.52,1145110,0.0000000000e+00,0.0000000000
hubbard_hts_core,200,1.9839568331,0.8543044008,-0.0200000000,21.64,69.52,2151769,0.0000000000e+00,0.0000000000
hubbard_hts_core,300,1.9842289668,0.8517210390,0.0600000000,21.64,69.52,3201239,3.3306690739e-16,0.0000000000
hubbard_hts_core,400,1.9843555259,0.8505575247,0.1600000000,21.64,69.52,4187659,1.1102230246e-16,0.0000000000
hubbard_hts_core,500,1.9844209465,0.8506544757,0.0200000000,21.64,69.52,5163718,1.1102230246e-16,0.0000000000
hubbard_hts_core,600,1.9844616534,0.8510727948,0.1200000000,21.64,69.52,6148978,0.0000000000e+00,0.0000000000
hubbard_hts_core,700,1.9844822995,0.8511807807,0.0200000000,21.64,69.52,7150337,2.2204460493e-16,0.0000000000
hubbard_hts_core,800,1.9844941348,0.8513954127,-0.0400000000,21.64,69.52,8155927,3.3306690739e-16,0.0000000000
hubbard_hts_core,900,1.9845029226,0.8515637809,-0.0200000000,21.64,69.52,9164767,3.3306690739e-16,0.0000000000
hubbard_hts_core,1000,1.9845113799,0.8512929867,0.2400000000,21.64,69.52,10197007,2.2204460493e-16,0.0000000000
hubbard_hts_core,1100,1.9845211156,0.8515415700,-0.0400000000,21.64,69.52,11194726,1.1102230246e-16,0.0000000000
hubbard_hts_core,1200,1.9845335947,0.8523852287,-0.2000000000,21.64,69.52,12204216,1.1102230246e-16,0.0000000000
hubbard_hts_core,1300,1.9845505576,0.8524816300,0.0800000000,21.64,69.52,13192416,2.2204460493e-16,0.0000000000
hubbard_hts_core,1400,1.9845741259,0.8526264814,0.0600000000,21.64,69.52,14182205,0.0000000000e+00,0.0000000000
hubbard_hts_core,1500,1.9846052428,0.8515663666,0.1000000000,21.64,69.52,15186145,2.2204460493e-16,0.0000000000
hubbard_hts_core,1600,1.9846390392,0.8500524913,-0.0600000000,21.64,69.52,16225615,2.2204460493e-16,0.0000000000
hubbard_hts_core,1700,1.9846689129,0.8489634470,-0.1800000000,21.64,69.52,17224034,3.3306690739e-16,0.0000000000
hubbard_hts_core,1800,1.9846924498,0.8475748972,-0.1800000000,21.64,69.52,18216114,2.2204460493e-16,0.0000000000
hubbard_hts_core,1900,1.9847062978,0.8468738256,0.1000000000,21.64,69.52,19218244,0.0000000000e+00,0.0000000000
hubbard_hts_core,2000,1.9847132986,0.8465968370,0.0200000000,21.64,69.52,20230084,0.0000000000e+00,0.0000000000
hubbard_hts_core,2100,1.9847169571,0.8466529868,0.0600000000,21.64,69.52,21264773,0.0000000000e+00,0.0000000000
hubbard_hts_core,2200,1.9847187963,0.8467688572,0.1000000000,21.64,69.52,22249293,2.2204460493e-16,0.0000000000
hubbard_hts_core,2300,1.9847197293,0.8468438781,0.0400000000,21.64,69.52,23252012,1.1102230246e-16,0.0000000000
hubbard_hts_core,2400,1.9847202541,0.8469985981,0.1200000000,21.64,69.52,24260192,0.0000000000e+00,0.0000000000
hubbard_hts_core,2500,1.9847206019,0.8470830692,0.0200000000,21.64,69.52,25256072,4.4408920985e-16,0.0000000000
hubbard_hts_core,2600,1.9847208724,0.8468054643,0.1400000000,21.64,69.52,26264611,0.0000000000e+00,0.0000000000
hubbard_hts_core,2700,1.9847211096,0.8466944264,0.0200000000,21.64,69.52,27266861,1.1102230246e-16,0.0000000000
qcd_lattice_fullscale,0,2.2115701842,0.7877814299,-0.0864197531,21.64,69.52,66430,1.1102230246e-16,0.0000000000
qcd_lattice_fullscale,100,2.2183077515,0.7814130574,-0.1111111111,21.64,69.52,899700,4.4408920985e-16,0.0000000000
qcd_lattice_fullscale,200,2.2203858203,0.7725199565,-0.0617283951,21.64,69.52,1965829,0.0000000000e+00,0.0000000000
qcd_lattice_fullscale,300,2.2209070074,0.7701460273,0.1851851852,21.64,69.52,2786859,0.0000000000e+00,0.0000000000
qcd_lattice_fullscale,400,2.2211013090,0.7683911023,-0.1851851852,21.64,69.52,3601819,0.0000000000e+00,0.0000000000
qcd_lattice_fullscale,500,2.2211894141,0.7662432436,-0.0864197531,21.64,69.52,4399829,0.0000000000e+00,0.0000000000
qcd_lattice_fullscale,600,2.2212513466,0.7636431939,0.0370370370,21.64,69.52,5192098,2.2204460493e-16,0.0000000000
qcd_lattice_fullscale,700,2.2212891644,0.7625893094,0.2345679012,21.64,69.52,5981748,0.0000000000e+00,0.0000000000
qcd_lattice_fullscale,800,2.2213075974,0.7624177427,-0.1111111111,21.64,69.52,6828328,1.1102230246e-16,0.0000000000
qcd_lattice_fullscale,900,2.2213151126,0.7625734250,-0.0123456790,21.64,69.52,7636477,0.0000000000e+00,0.0000000000
qcd_lattice_fullscale,1000,2.2213175754,0.7624301045,-0.0864197531,21.64,69.52,8446107,5.5511151231e-16,0.0000000000
qcd_lattice_fullscale,1100,2.2213180898,0.7623237728,0.1111111111,21.64,69.52,9260747,2.2204460493e-16,0.0000000000
qcd_lattice_fullscale,1200,2.2213179167,0.7622141476,-0.0617283951,21.64,69.52,10066707,0.0000000000e+00,0.0000000000
qcd_lattice_fullscale,1300,2.2213175749,0.7617870347,0.0617283951,21.64,69.52,10850807,3.3306690739e-16,0.0000000000
qcd_lattice_fullscale,1400,2.2213173298,0.7617504806,0.2592592593,21.64,69.52,11644026,3.3306690739e-16,0.0000000000
qcd_lattice_fullscale,1500,2.2213173549,0.7621156370,0.0123456790,21.64,69.52,12454016,1.1102230246e-16,0.0000000000
qcd_lattice_fullscale,1600,2.2213177200,0.7622376501,-0.0617283951,21.64,69.52,13263396,4.4408920985e-16,0.0000000000
qcd_lattice_fullscale,1700,2.2213183398,0.7622299193,0.0370370370,21.64,69.52,14072045,0.0000000000e+00,0.0000000000
qcd_lattice_fullscale,1800,2.2213190140,0.7623684958,-0.0617283951,21.64,69.52,14856295,1.1102230246e-16,0.0000000000
qcd_lattice_fullscale,1900,2.2213195574,0.7626057536,0.2345679012,21.64,69.52,15658275,2.2204460493e-16,0.0000000000
qcd_lattice_fullscale,2000,2.2213198918,0.7627147166,-0.0123456790,21.64,69.52,16450955,0.0000000000e+00,0.0000000000
qcd_lattice_fullscale,2100,2.2213200331,0.7624936121,-0.1111111111,21.64,69.52,17244814,1.1102230246e-16,0.0000000000
quantum_field_noneq,0,1.7132814802,0.7240593614,-0.3750000000,21.64,69.52,58190,4.4408920985e-16,0.0000000000
quantum_field_noneq,100,1.7345843466,0.7049227086,-0.0625000000,21.64,69.52,718340,1.1102230246e-16,0.0000000000
quantum_field_noneq,200,1.7361248465,0.6934980166,0.0000000000,21.64,69.52,1386820,1.1102230246e-16,0.0000000000
quantum_field_noneq,300,1.7365649286,0.6968132234,0.0625000000,21.64,69.52,2057530,0.0000000000e+00,0.0000000000
quantum_field_noneq,400,1.7368200823,0.6919966976,-0.2812500000,21.64,69.52,2707399,0.0000000000e+00,0.0000000000
quantum_field_noneq,500,1.7370010923,0.6877068738,-0.1250000000,21.64,69.52,3369019,3.3306690739e-16,0.0000000000
quantum_field_noneq,600,1.7371254627,0.6891894629,-0.0625000000,21.64,69.52,4014339,1.1102230246e-16,0.0000000000
quantum_field_noneq,700,1.7371983504,0.6917987934,-0.2812500000,21.64,69.52,4674419,0.0000000000e+00,0.0000000000
quantum_field_noneq,800,1.7372795569,0.6935061969,-0.0937500000,21.64,69.52,5331508,3.3306690739e-16,0.0000000000
quantum_field_noneq,900,1.7374048717,0.6919256922,-0.0625000000,21.64,69.52,5994148,0.0000000000e+00,0.0000000000
quantum_field_noneq,1000,1.7375426989,0.6846047876,-0.1562500000,21.64,69.52,6679088,2.2204460493e-16,0.0000000000
quantum_field_noneq,1100,1.7376225057,0.6833027890,0.0625000000,21.64,69.52,7329458,1.1102230246e-16,0.0000000000
quantum_field_noneq,1200,1.7376734421,0.6843315202,-0.3125000000,21.64,69.52,7992898,1.1102230246e-16,0.0000000000
