event,timestamp_utc,timestamp_ns,pid,detail,value
INIT,2026-03-14T06:51:35Z,229672161476957,7551,activation,100PCT_INCONDITIONNELLE
INIT,2026-03-14T06:51:35Z,229672161476957,7551,modules_reels,ultra_forensic_logger+memory_tracker
MODULE_START,2026-03-14T06:51:35Z,229672164122987,7551,hubbard_hts_advanced_parallel,main_campaign
MODULE_START,2026-03-14T06:51:35Z,229672164673357,7551,simulate_adv,hubbard_hts_core
METRIC,2026-03-14T06:51:35Z,229672164701187,7551,simulate_adv:sites,100.0000000000
METRIC,2026-03-14T06:51:35Z,229672164764107,7551,simulate_adv:steps,2800.0000000000
METRIC,2026-03-14T06:51:35Z,229672164799607,7551,simulate_adv:temp_K,95.0000000000
METRIC,2026-03-14T06:51:35Z,229672164835957,7551,simulate_adv:U_eV,8.0000000000
METRIC,2026-03-14T06:51:35Z,229672164894307,7551,simulate_adv:local_pair_site0_step0,0.5835096733
METRIC,2026-03-14T06:51:35Z,229672164931387,7551,simulate_adv:d_site0_step0,-0.1531025933
METRIC,2026-03-14T06:51:35Z,229672164977577,7551,simulate_adv:step_pairing_norm_step0,0.7158923070
METRIC,2026-03-14T06:51:35Z,229672165023997,7551,simulate_adv:step_energy_norm_step0,1.9745923269
MODULE_END,2026-03-14T06:51:35Z,229672192971686,7551,simulate_adv:hubbard_hts_core,28298329
METRIC,2026-03-14T06:51:35Z,229672193023206,7551,simulate_adv:pairing_final,0.6711904864
METRIC,2026-03-14T06:51:35Z,229672193062536,7551,simulate_adv:energy_final_eV,1.9847213329
METRIC,2026-03-14T06:51:35Z,229672193093586,7551,simulate_adv:sign_ratio_final,-0.0400000000
METRIC,2026-03-14T06:51:35Z,229672193124246,7551,simulate_adv:elapsed_ns,28335639.0000000000
MODULE_START,2026-03-14T06:51:35Z,229672193164656,7551,simulate_adv,qcd_lattice_fullscale
METRIC,2026-03-14T06:51:35Z,229672193183376,7551,simulate_adv:sites,81.0000000000
METRIC,2026-03-14T06:51:35Z,229672193213576,7551,simulate_adv:steps,2200.0000000000
METRIC,2026-03-14T06:51:35Z,229672193243726,7551,simulate_adv:temp_K,140.0000000000
METRIC,2026-03-14T06:51:35Z,229672193274026,7551,simulate_adv:U_eV,9.0000000000
METRIC,2026-03-14T06:51:35Z,229672193304236,7551,simulate_adv:local_pair_site0_step0,0.6571004364
METRIC,2026-03-14T06:51:35Z,229672193334316,7551,simulate_adv:d_site0_step0,0.0809842964
METRIC,2026-03-14T06:51:35Z,229672193372276,7551,simulate_adv:step_pairing_norm_step0,0.5799614517
METRIC,2026-03-14T06:51:35Z,229672193402106,7551,simulate_adv:step_energy_norm_step0,2.2115701842
MODULE_END,2026-03-14T06:51:35Z,229672211032816,7551,simulate_adv:qcd_lattice_fullscale,17868160
METRIC,2026-03-14T06:51:35Z,229672211067496,7551,simulate_adv:pairing_final,0.5247243224
METRIC,2026-03-14T06:51:35Z,229672211117486,7551,simulate_adv:energy_final_eV,2.2213200609
METRIC,2026-03-14T06:51:35Z,229672211155016,7551,simulate_adv:sign_ratio_final,-0.2098765432
METRIC,2026-03-14T06:51:35Z,229672211185196,7551,simulate_adv:elapsed_ns,17868060.0000000000
MODULE_START,2026-03-14T06:51:35Z,229672211231606,7551,simulate_adv,quantum_field_noneq
METRIC,2026-03-14T06:51:35Z,229672211254676,7551,simulate_adv:sites,64.0000000000
METRIC,2026-03-14T06:51:35Z,229672211285606,7551,simulate_adv:steps,2100.0000000000
METRIC,2026-03-14T06:51:35Z,229672211315906,7551,simulate_adv:temp_K,180.0000000000
METRIC,2026-03-14T06:51:35Z,229672211350776,7551,simulate_adv:U_eV,7.0000000000
METRIC,2026-03-14T06:51:35Z,229672211387356,7551,simulate_adv:local_pair_site0_step0,0.7018419847
METRIC,2026-03-14T06:51:35Z,229672211417546,7551,simulate_adv:d_site0_step0,0.0531072761
METRIC,2026-03-14T06:51:35Z,229672211462256,7551,simulate_adv:step_pairing_norm_step0,0.4880717565
METRIC,2026-03-14T06:51:35Z,229672211495216,7551,simulate_adv:step_energy_norm_step0,1.7132814802
MODULE_END,2026-03-14T06:51:35Z,229672225365396,7551,simulate_adv:quantum_field_noneq,14133790
METRIC,2026-03-14T06:51:35Z,229672225399686,7551,simulate_adv:pairing_final,0.3935445535
METRIC,2026-03-14T06:51:35Z,229672225432386,7551,simulate_adv:energy_final_eV,1.7379608254
METRIC,2026-03-14T06:51:35Z,229672225462656,7551,simulate_adv:sign_ratio_final,0.4375000000
METRIC,2026-03-14T06:51:35Z,229672225492416,7551,simulate_adv:elapsed_ns,14133310.0000000000
MODULE_START,2026-03-14T06:51:35Z,229672225540006,7551,simulate_adv,dense_nuclear_fullscale
METRIC,2026-03-14T06:51:35Z,229672225569336,7551,simulate_adv:sites,72.0000000000
METRIC,2026-03-14T06:51:35Z,229672225599576,7551,simulate_adv:steps,2100.0000000000
METRIC,2026-03-14T06:51:35Z,229672225629636,7551,simulate_adv:temp_K,80.0000000000
METRIC,2026-03-14T06:51:35Z,229672225659436,7551,simulate_adv:U_eV,11.0000000000
METRIC,2026-03-14T06:51:35Z,229672225689416,7551,simulate_adv:local_pair_site0_step0,0.9031403874
METRIC,2026-03-14T06:51:35Z,229672225719166,7551,simulate_adv:d_site0_step0,-0.0343836889
METRIC,2026-03-14T06:51:35Z,229672225756246,7551,simulate_adv:step_pairing_norm_step0,0.7243158278
METRIC,2026-03-14T06:51:35Z,229672225785996,7551,simulate_adv:step_energy_norm_step0,2.6960090986
MODULE_END,2026-03-14T06:51:35Z,229672240971386,7551,simulate_adv:dense_nuclear_fullscale,15431380
METRIC,2026-03-14T06:51:35Z,229672241016646,7551,simulate_adv:pairing_final,0.6743245409
METRIC,2026-03-14T06:51:35Z,229672241048706,7551,simulate_adv:energy_final_eV,2.7096741851
METRIC,2026-03-14T06:51:35Z,229672241078696,7551,simulate_adv:sign_ratio_final,-0.1666666667
METRIC,2026-03-14T06:51:35Z,229672241108306,7551,simulate_adv:elapsed_ns,15430920.0000000000
MODULE_START,2026-03-14T06:51:35Z,229672241147156,7551,simulate_adv,quantum_chemistry_fullscale
METRIC,2026-03-14T06:51:35Z,229672241165906,7551,simulate_adv:sites,56.0000000000
METRIC,2026-03-14T06:51:35Z,229672241195676,7551,simulate_adv:steps,2200.0000000000
METRIC,2026-03-14T06:51:35Z,229672241225546,7551,simulate_adv:temp_K,60.0000000000
METRIC,2026-03-14T06:51:35Z,229672241255156,7551,simulate_adv:U_eV,6.5000000000
METRIC,2026-03-14T06:51:35Z,229672241284956,7551,simulate_adv:local_pair_site0_step0,0.6439560412
METRIC,2026-03-14T06:51:35Z,229672241314726,7551,simulate_adv:d_site0_step0,0.1980566490
METRIC,2026-03-14T06:51:35Z,229672241350186,7551,simulate_adv:step_pairing_norm_step0,0.7636584703
METRIC,2026-03-14T06:51:35Z,229672241379776,7551,simulate_adv:step_energy_norm_step0,1.5927403563
