problem,model_id,hamiltonian_id,schema_version,lattice_size,lattice_sites,geometry,boundary_conditions,t,U,u_over_t,mu,T,dt,time_step,seed,solver_version,method
bosonic_multimode_systems,hubbard::bosonic_multimode_systems,single_band_hubbard_2d,1.1,10x8,80,rectangular_2d,periodic,0.600000,5.200000,8.666666666666668,0.060000,NA,0.010000,0.010000,11255817,hubbard_hts_research_cycle_advanced_parallel_v8_metadata,rk2_stabilized
correlated_fermions_non_hubbard,hubbard::correlated_fermions_non_hubbard,single_band_hubbard_2d,1.1,10x9,90,rectangular_2d,periodic,1.200000,8.600000,7.166666666666667,0.180000,NA,0.010000,0.010000,11255815,hubbard_hts_research_cycle_advanced_parallel_v8_metadata,rk2_stabilized
dense_nuclear_fullscale,hubbard::dense_nuclear_fullscale,single_band_hubbard_2d,1.1,9x8,72,rectangular_2d,open,0.800000,11.000000,13.75,0.300000,NA,0.010000,0.010000,11255811,hubbard_hts_research_cycle_advanced_parallel_v8_metadata,rk2_stabilized
far_from_equilibrium_kinetic_lattices,hubbard::far_from_equilibrium_kinetic_lattices,single_band_hubbard_2d,1.1,11x9,99,rectangular_2d,periodic,1.000000,8.000000,8.0,0.090000,NA,0.010000,0.010000,11255819,hubbard_hts_research_cycle_advanced_parallel_v8_metadata,rk2_stabilized
hubbard_hts_core,hubbard::hubbard_hts_core,single_band_hubbard_2d,1.1,10x10,100,square_2d,periodic,1.000000,8.000000,8.0,0.200000,NA,0.010000,0.010000,11255808,hubbard_hts_research_cycle_advanced_parallel_v8_metadata,rk2_stabilized
multi_correlated_fermion_boson_networks,hubbard::multi_correlated_fermion_boson_networks,single_band_hubbard_2d,1.1,10x10,100,square_2d,periodic,1.050000,7.400000,7.0476190476190474,0.140000,NA,0.010000,0.010000,11255820,hubbard_hts_research_cycle_advanced_parallel_v8_metadata,rk2_stabilized
multi_state_excited_chemistry,hubbard::multi_state_excited_chemistry,single_band_hubbard_2d,1.1,9x9,81,square_2d,periodic,1.500000,6.800000,4.533333333333333,0.220000,NA,0.010000,0.010000,11255816,hubbard_hts_research_cycle_advanced_parallel_v8_metadata,rk2_stabilized
multiscale_nonlinear_field_models,hubbard::multiscale_nonlinear_field_models,single_band_hubbard_2d,1.1,12x8,96,rectangular_2d,periodic,1.400000,9.200000,6.571428571428571,0.100000,NA,0.010000,0.010000,11255818,hubbard_hts_research_cycle_advanced_parallel_v8_metadata,rk2_stabilized
qcd_lattice_fullscale,hubbard::qcd_lattice_fullscale,single_band_hubbard_2d,1.1,9x9,81,square_2d,periodic,0.700000,9.000000,12.857142857142858,0.100000,5.700000,0.010000,0.010000,11255809,hubbard_hts_research_cycle_advanced_parallel_v8_metadata,rk2_stabilized
quantum_chemistry_fullscale,hubbard::quantum_chemistry_fullscale,single_band_hubbard_2d,1.1,8x7,56,rectangular_2d,periodic,1.600000,6.500000,4.0625,0.400000,NA,0.010000,0.010000,11255812,hubbard_hts_research_cycle_advanced_parallel_v8_metadata,rk2_stabilized
quantum_field_noneq,hubbard::quantum_field_noneq,single_band_hubbard_2d,1.1,8x8,64,square_2d,periodic,1.300000,7.000000,5.384615384615384,0.050000,NA,0.010000,0.010000,11255810,hubbard_hts_research_cycle_advanced_parallel_v8_metadata,rk2_stabilized
spin_liquid_exotic,hubbard::spin_liquid_exotic,single_band_hubbard_2d,1.1,12x10,120,rectangular_2d,periodic,0.900000,10.500000,11.666666666666666,0.120000,NA,0.010000,0.010000,11255813,hubbard_hts_research_cycle_advanced_parallel_v8_metadata,rk2_stabilized
topological_correlated_materials,hubbard::topological_correlated_materials,single_band_hubbard_2d,1.1,11x11,121,square_2d,periodic,1.100000,7.800000,7.09090909090909,0.150000,NA,0.010000,0.010000,11255814,hubbard_hts_research_cycle_advanced_parallel_v8_metadata,rk2_stabilized
