scenario,loss_count_total,loss_frequency_total,loss_count_hardware_preferred,loss_count_deterministic_seeded
133,33,0.55,15,18
144,32,0.5333333333333333,15,17
310,31,0.5166666666666667,14,17
131,29,0.48333333333333334,12,17
44,28,0.4666666666666667,15,13
74,28,0.4666666666666667,12,16
87,28,0.4666666666666667,16,12
117,28,0.4666666666666667,11,17
189,28,0.4666666666666667,16,12
228,28,0.4666666666666667,15,13
304,28,0.4666666666666667,15,13
329,28,0.4666666666666667,14,14
69,27,0.45,11,16
115,27,0.45,14,13
207,27,0.45,17,10
208,27,0.45,14,13
312,27,0.45,14,13
318,27,0.45,15,12
6,26,0.43333333333333335,12,14
29,26,0.43333333333333335,14,12
58,26,0.43333333333333335,11,15
112,26,0.43333333333333335,12,14
116,26,0.43333333333333335,13,13
145,26,0.43333333333333335,13,13
222,26,0.43333333333333335,13,13
226,26,0.43333333333333335,10,16
253,26,0.43333333333333335,13,13
269,26,0.43333333333333335,16,10
288,26,0.43333333333333335,13,13
290,26,0.43333333333333335,13,13
324,26,0.43333333333333335,14,12
336,26,0.43333333333333335,13,13
33,25,0.4166666666666667,11,14
85,25,0.4166666666666667,14,11
104,25,0.4166666666666667,13,12
119,25,0.4166666666666667,15,10
164,25,0.4166666666666667,11,14
192,25,0.4166666666666667,10,15
218,25,0.4166666666666667,12,13
268,25,0.4166666666666667,15,10
281,25,0.4166666666666667,15,10
2,24,0.4,9,15
5,24,0.4,11,13
14,24,0.4,9,15
42,24,0.4,10,14
48,24,0.4,12,12
59,24,0.4,11,13
77,24,0.4,12,12
82,24,0.4,10,14
84,24,0.4,16,8
88,24,0.4,12,12
94,24,0.4,12,12
102,24,0.4,12,12
103,24,0.4,10,14
106,24,0.4,11,13
114,24,0.4,9,15
124,24,0.4,11,13
126,24,0.4,14,10
147,24,0.4,11,13
148,24,0.4,8,16
177,24,0.4,10,14
194,24,0.4,14,10
202,24,0.4,11,13
203,24,0.4,13,11
225,24,0.4,8,16
229,24,0.4,11,13
245,24,0.4,9,15
246,24,0.4,14,10
261,24,0.4,14,10
317,24,0.4,12,12
325,24,0.4,10,14
341,24,0.4,10,14
3,23,0.38333333333333336,13,10
11,23,0.38333333333333336,15,8
20,23,0.38333333333333336,11,12
21,23,0.38333333333333336,12,11
47,23,0.38333333333333336,12,11
51,23,0.38333333333333336,10,13
55,23,0.38333333333333336,10,13
56,23,0.38333333333333336,9,14
66,23,0.38333333333333336,14,9
86,23,0.38333333333333336,11,12
91,23,0.38333333333333336,10,13
99,23,0.38333333333333336,9,14
139,23,0.38333333333333336,10,13
140,23,0.38333333333333336,8,15
149,23,0.38333333333333336,11,12
163,23,0.38333333333333336,13,10
175,23,0.38333333333333336,12,11
178,23,0.38333333333333336,11,12
190,23,0.38333333333333336,12,11
191,23,0.38333333333333336,14,9
200,23,0.38333333333333336,13,10
221,23,0.38333333333333336,16,7
231,23,0.38333333333333336,13,10
239,23,0.38333333333333336,10,13
259,23,0.38333333333333336,10,13
267,23,0.38333333333333336,9,14
277,23,0.38333333333333336,10,13
321,23,0.38333333333333336,12,11
348,23,0.38333333333333336,14,9
350,23,0.38333333333333336,12,11
9,22,0.36666666666666664,12,10
41,22,0.36666666666666664,9,13
46,22,0.36666666666666664,11,11
70,22,0.36666666666666664,11,11
76,22,0.36666666666666664,9,13
113,22,0.36666666666666664,13,9
120,22,0.36666666666666664,11,11
122,22,0.36666666666666664,12,10
146,22,0.36666666666666664,12,10
154,22,0.36666666666666664,12,10
159,22,0.36666666666666664,12,10
162,22,0.36666666666666664,14,8
172,22,0.36666666666666664,13,9
173,22,0.36666666666666664,11,11
174,22,0.36666666666666664,12,10
179,22,0.36666666666666664,11,11
188,22,0.36666666666666664,10,12
201,22,0.36666666666666664,12,10
206,22,0.36666666666666664,13,9
214,22,0.36666666666666664,10,12
234,22,0.36666666666666664,11,11
243,22,0.36666666666666664,11,11
265,22,0.36666666666666664,10,12
278,22,0.36666666666666664,9,13
279,22,0.36666666666666664,9,13
307,22,0.36666666666666664,11,11
314,22,0.36666666666666664,11,11
320,22,0.36666666666666664,11,11
322,22,0.36666666666666664,14,8
335,22,0.36666666666666664,9,13
337,22,0.36666666666666664,9,13
343,22,0.36666666666666664,12,10
354,22,0.36666666666666664,10,12
355,22,0.36666666666666664,10,12
0,21,0.35,12,9
8,21,0.35,10,11
13,21,0.35,9,12
15,21,0.35,12,9
22,21,0.35,14,7
23,21,0.35,12,9
26,21,0.35,9,12
27,21,0.35,11,10
28,21,0.35,12,9
37,21,0.35,11,10
40,21,0.35,10,11
43,21,0.35,14,7
45,21,0.35,10,11
52,21,0.35,11,10
72,21,0.35,15,6
73,21,0.35,10,11
90,21,0.35,12,9
130,21,0.35,11,10
134,21,0.35,11,10
160,21,0.35,10,11
165,21,0.35,13,8
170,21,0.35,8,13
176,21,0.35,9,12
180,21,0.35,9,12
184,21,0.35,11,10
186,21,0.35,9,12
193,21,0.35,11,10
205,21,0.35,8,13
223,21,0.35,11,10
250,21,0.35,9,12
252,21,0.35,9,12
271,21,0.35,11,10
276,21,0.35,9,12
291,21,0.35,10,11
294,21,0.35,7,14
295,21,0.35,9,12
299,21,0.35,8,13
309,21,0.35,11,10
316,21,0.35,12,9
319,21,0.35,12,9
331,21,0.35,9,12
334,21,0.35,9,12
338,21,0.35,10,11
340,21,0.35,12,9
353,21,0.35,10,11
356,21,0.35,8,13
4,20,0.3333333333333333,9,11
32,20,0.3333333333333333,8,12
36,20,0.3333333333333333,9,11
39,20,0.3333333333333333,8,12
49,20,0.3333333333333333,11,9
57,20,0.3333333333333333,14,6
63,20,0.3333333333333333,10,10
67,20,0.3333333333333333,12,8
71,20,0.3333333333333333,11,9
80,20,0.3333333333333333,10,10
95,20,0.3333333333333333,10,10
96,20,0.3333333333333333,11,9
101,20,0.3333333333333333,11,9
107,20,0.3333333333333333,12,8
132,20,0.3333333333333333,10,10
138,20,0.3333333333333333,10,10
151,20,0.3333333333333333,11,9
152,20,0.3333333333333333,10,10
157,20,0.3333333333333333,13,7
158,20,0.3333333333333333,8,12
161,20,0.3333333333333333,10,10
166,20,0.3333333333333333,9,11
198,20,0.3333333333333333,13,7
204,20,0.3333333333333333,9,11
210,20,0.3333333333333333,12,8
219,20,0.3333333333333333,9,11
227,20,0.3333333333333333,9,11
236,20,0.3333333333333333,10,10
237,20,0.3333333333333333,7,13
241,20,0.3333333333333333,8,12
244,20,0.3333333333333333,8,12
247,20,0.3333333333333333,9,11
260,20,0.3333333333333333,7,13
266,20,0.3333333333333333,11,9
272,20,0.3333333333333333,11,9
274,20,0.3333333333333333,12,8
283,20,0.3333333333333333,11,9
289,20,0.3333333333333333,12,8
292,20,0.3333333333333333,9,11
300,20,0.3333333333333333,10,10
313,20,0.3333333333333333,6,14
323,20,0.3333333333333333,11,9
327,20,0.3333333333333333,9,11
349,20,0.3333333333333333,6,14
358,20,0.3333333333333333,12,8
16,19,0.31666666666666665,9,10
24,19,0.31666666666666665,9,10
30,19,0.31666666666666665,10,9
38,19,0.31666666666666665,11,8
53,19,0.31666666666666665,10,9
54,19,0.31666666666666665,7,12
61,19,0.31666666666666665,6,13
64,19,0.31666666666666665,12,7
65,19,0.31666666666666665,9,10
83,19,0.31666666666666665,10,9
89,19,0.31666666666666665,10,9
92,19,0.31666666666666665,8,11
118,19,0.31666666666666665,9,10
127,19,0.31666666666666665,11,8
135,19,0.31666666666666665,8,11
141,19,0.31666666666666665,13,6
169,19,0.31666666666666665,9,10
182,19,0.31666666666666665,12,7
183,19,0.31666666666666665,12,7
209,19,0.31666666666666665,11,8
216,19,0.31666666666666665,9,10
217,19,0.31666666666666665,10,9
224,19,0.31666666666666665,11,8
235,19,0.31666666666666665,12,7
238,19,0.31666666666666665,10,9
242,19,0.31666666666666665,8,11
254,19,0.31666666666666665,12,7
256,19,0.31666666666666665,9,10
270,19,0.31666666666666665,3,16
280,19,0.31666666666666665,9,10
286,19,0.31666666666666665,8,11
297,19,0.31666666666666665,11,8
298,19,0.31666666666666665,10,9
306,19,0.31666666666666665,9,10
308,19,0.31666666666666665,11,8
328,19,0.31666666666666665,10,9
339,19,0.31666666666666665,12,7
10,18,0.3,8,10
17,18,0.3,7,11
50,18,0.3,6,12
68,18,0.3,7,11
110,18,0.3,10,8
137,18,0.3,8,10
142,18,0.3,7,11
150,18,0.3,11,7
153,18,0.3,12,6
167,18,0.3,8,10
181,18,0.3,9,9
185,18,0.3,11,7
197,18,0.3,8,10
199,18,0.3,9,9
220,18,0.3,5,13
233,18,0.3,6,12
258,18,0.3,6,12
282,18,0.3,8,10
284,18,0.3,9,9
285,18,0.3,10,8
293,18,0.3,5,13
301,18,0.3,10,8
326,18,0.3,9,9
330,18,0.3,10,8
344,18,0.3,11,7
346,18,0.3,9,9
1,17,0.2833333333333333,9,8
7,17,0.2833333333333333,9,8
19,17,0.2833333333333333,9,8
35,17,0.2833333333333333,9,8
81,17,0.2833333333333333,8,9
105,17,0.2833333333333333,12,5
111,17,0.2833333333333333,10,7
129,17,0.2833333333333333,10,7
156,17,0.2833333333333333,11,6
168,17,0.2833333333333333,10,7
187,17,0.2833333333333333,6,11
195,17,0.2833333333333333,7,10
232,17,0.2833333333333333,6,11
240,17,0.2833333333333333,12,5
255,17,0.2833333333333333,8,9
257,17,0.2833333333333333,11,6
263,17,0.2833333333333333,9,8
303,17,0.2833333333333333,8,9
305,17,0.2833333333333333,11,6
311,17,0.2833333333333333,9,8
351,17,0.2833333333333333,9,8
359,17,0.2833333333333333,7,10
121,16,0.26666666666666666,7,9
123,16,0.26666666666666666,8,8
125,16,0.26666666666666666,8,8
128,16,0.26666666666666666,7,9
136,16,0.26666666666666666,7,9
143,16,0.26666666666666666,12,4
196,16,0.26666666666666666,8,8
212,16,0.26666666666666666,8,8
296,16,0.26666666666666666,8,8
302,16,0.26666666666666666,10,6
315,16,0.26666666666666666,7,9
332,16,0.26666666666666666,9,7
345,16,0.26666666666666666,9,7
357,16,0.26666666666666666,9,7
12,15,0.25,7,8
18,15,0.25,7,8
31,15,0.25,7,8
79,15,0.25,9,6
98,15,0.25,6,9
100,15,0.25,5,10
109,15,0.25,9,6
211,15,0.25,5,10
213,15,0.25,8,7
230,15,0.25,5,10
275,15,0.25,8,7
287,15,0.25,5,10
333,15,0.25,11,4
352,15,0.25,10,5
25,14,0.23333333333333334,6,8
62,14,0.23333333333333334,8,6
78,14,0.23333333333333334,5,9
93,14,0.23333333333333334,8,6
108,14,0.23333333333333334,7,7
155,14,0.23333333333333334,9,5
262,14,0.23333333333333334,5,9
264,14,0.23333333333333334,5,9
347,14,0.23333333333333334,7,7
34,13,0.21666666666666667,6,7
97,13,0.21666666666666667,8,5
171,13,0.21666666666666667,6,7
215,13,0.21666666666666667,7,6
248,13,0.21666666666666667,7,6
249,13,0.21666666666666667,8,5
342,13,0.21666666666666667,7,6
60,12,0.2,6,6
251,12,0.2,7,5
75,11,0.18333333333333332,5,6
273,11,0.18333333333333332,5,6
