scenario,loss_count_total,loss_frequency_total,loss_count_hardware_preferred,loss_count_deterministic_seeded,loss_count_baseline_neutralized
133,47,0.5222222222222223,15,18,14
117,45,0.5,17,17,11
310,42,0.4666666666666667,11,17,14
14,40,0.4444444444444444,15,15,10
74,39,0.43333333333333335,13,16,10
148,39,0.43333333333333335,11,16,12
226,39,0.43333333333333335,8,16,15
69,38,0.4222222222222222,12,16,10
220,38,0.4222222222222222,12,13,13
245,38,0.4222222222222222,13,15,10
112,37,0.4111111111111111,13,14,10
140,37,0.4111111111111111,10,15,12
250,37,0.4111111111111111,14,12,11
270,37,0.4111111111111111,10,16,11
299,37,0.4111111111111111,13,13,11
40,36,0.4,18,11,7
76,36,0.4,12,13,11
103,36,0.4,12,14,10
114,36,0.4,11,15,10
131,36,0.4,10,17,9
170,36,0.4,14,13,9
188,36,0.4,13,12,11
218,36,0.4,13,13,10
225,36,0.4,8,16,12
260,36,0.4,13,13,10
2,35,0.3888888888888889,10,15,10
59,35,0.3888888888888889,13,13,9
99,35,0.3888888888888889,9,14,12
119,35,0.3888888888888889,19,10,6
192,35,0.3888888888888889,11,15,9
324,35,0.3888888888888889,16,12,7
327,35,0.3888888888888889,16,11,8
329,35,0.3888888888888889,10,14,11
58,34,0.37777777777777777,11,15,8
94,34,0.37777777777777777,13,12,9
177,34,0.37777777777777777,12,14,8
190,34,0.37777777777777777,14,11,9
229,34,0.37777777777777777,11,13,10
267,34,0.37777777777777777,10,14,10
288,34,0.37777777777777777,9,13,12
312,34,0.37777777777777777,11,13,10
317,34,0.37777777777777777,11,12,11
321,34,0.37777777777777777,14,11,9
356,34,0.37777777777777777,13,13,8
6,33,0.36666666666666664,11,14,8
26,33,0.36666666666666664,14,12,7
56,33,0.36666666666666664,15,14,4
73,33,0.36666666666666664,13,11,9
82,33,0.36666666666666664,10,14,9
91,33,0.36666666666666664,12,13,8
104,33,0.36666666666666664,14,12,7
122,33,0.36666666666666664,14,10,9
124,33,0.36666666666666664,10,13,10
144,33,0.36666666666666664,7,17,9
164,33,0.36666666666666664,11,14,8
186,33,0.36666666666666664,11,12,10
208,33,0.36666666666666664,12,13,8
293,33,0.36666666666666664,11,13,9
295,33,0.36666666666666664,13,12,8
313,33,0.36666666666666664,12,14,7
325,33,0.36666666666666664,10,14,9
331,33,0.36666666666666664,14,12,7
341,33,0.36666666666666664,10,14,9
8,32,0.35555555555555557,14,11,7
13,32,0.35555555555555557,10,12,10
42,32,0.35555555555555557,10,14,8
44,32,0.35555555555555557,10,13,9
47,32,0.35555555555555557,14,11,7
50,32,0.35555555555555557,12,12,8
51,32,0.35555555555555557,10,13,9
54,32,0.35555555555555557,12,12,8
102,32,0.35555555555555557,13,12,7
135,32,0.35555555555555557,11,11,10
160,32,0.35555555555555557,17,11,4
200,32,0.35555555555555557,14,10,8
222,32,0.35555555555555557,11,13,8
228,32,0.35555555555555557,11,13,8
239,32,0.35555555555555557,10,13,9
241,32,0.35555555555555557,9,12,11
258,32,0.35555555555555557,10,12,10
259,32,0.35555555555555557,12,13,7
276,32,0.35555555555555557,12,12,8
318,32,0.35555555555555557,11,12,9
32,31,0.34444444444444444,8,12,11
88,31,0.34444444444444444,10,12,9
128,31,0.34444444444444444,16,9,6
145,31,0.34444444444444444,8,13,10
147,31,0.34444444444444444,8,13,10
161,31,0.34444444444444444,14,10,7
175,31,0.34444444444444444,12,11,8
216,31,0.34444444444444444,14,10,7
233,31,0.34444444444444444,14,12,5
246,31,0.34444444444444444,13,10,8
252,31,0.34444444444444444,11,12,8
253,31,0.34444444444444444,10,13,8
265,31,0.34444444444444444,10,12,9
294,31,0.34444444444444444,7,14,10
303,31,0.34444444444444444,16,9,6
320,31,0.34444444444444444,11,11,9
334,31,0.34444444444444444,9,12,10
337,31,0.34444444444444444,7,13,11
343,31,0.34444444444444444,15,10,6
349,31,0.34444444444444444,6,14,11
20,30,0.3333333333333333,11,12,7
61,30,0.3333333333333333,11,13,6
66,30,0.3333333333333333,15,9,6
87,30,0.3333333333333333,11,12,7
132,30,0.3333333333333333,12,10,8
146,30,0.3333333333333333,15,10,5
166,30,0.3333333333333333,11,11,8
178,30,0.3333333333333333,12,12,6
202,30,0.3333333333333333,10,13,7
211,30,0.3333333333333333,14,10,6
234,30,0.3333333333333333,11,11,8
237,30,0.3333333333333333,9,13,8
256,30,0.3333333333333333,13,10,7
279,30,0.3333333333333333,10,13,7
290,30,0.3333333333333333,10,13,7
291,30,0.3333333333333333,11,11,8
335,30,0.3333333333333333,8,13,9
354,30,0.3333333333333333,12,12,6
355,30,0.3333333333333333,13,12,5
4,29,0.32222222222222224,12,11,6
5,29,0.32222222222222224,6,13,10
9,29,0.32222222222222224,12,10,7
39,29,0.32222222222222224,8,12,9
46,29,0.32222222222222224,8,11,10
48,29,0.32222222222222224,9,12,8
65,29,0.32222222222222224,11,10,8
71,29,0.32222222222222224,14,9,6
80,29,0.32222222222222224,12,10,7
86,29,0.32222222222222224,11,12,6
115,29,0.32222222222222224,6,13,10
116,29,0.32222222222222224,10,13,6
142,29,0.32222222222222224,9,11,9
149,29,0.32222222222222224,13,12,4
179,29,0.32222222222222224,12,11,6
184,29,0.32222222222222224,12,10,7
204,29,0.32222222222222224,13,11,5
242,29,0.32222222222222224,10,11,8
269,29,0.32222222222222224,10,10,9
278,29,0.32222222222222224,8,13,8
287,29,0.32222222222222224,10,10,9
309,29,0.32222222222222224,12,10,7
326,29,0.32222222222222224,14,9,6
21,28,0.3111111111111111,10,11,7
24,28,0.3111111111111111,11,10,7
25,28,0.3111111111111111,13,8,7
29,28,0.3111111111111111,11,12,5
35,28,0.3111111111111111,13,8,7
36,28,0.3111111111111111,9,11,8
41,28,0.3111111111111111,10,13,5
52,28,0.3111111111111111,10,10,8
98,28,0.3111111111111111,12,9,7
125,28,0.3111111111111111,14,8,6
174,28,0.3111111111111111,10,10,8
187,28,0.3111111111111111,10,11,7
203,28,0.3111111111111111,10,11,7
205,28,0.3111111111111111,9,13,6
207,28,0.3111111111111111,13,10,5
214,28,0.3111111111111111,9,12,7
264,28,0.3111111111111111,13,9,6
271,28,0.3111111111111111,12,10,6
304,28,0.3111111111111111,6,13,9
322,28,0.3111111111111111,13,8,7
328,28,0.3111111111111111,14,9,5
11,27,0.3,13,8,6
33,27,0.3,7,14,6
68,27,0.3,9,11,7
70,27,0.3,9,11,7
84,27,0.3,12,8,7
89,27,0.3,13,9,5
92,27,0.3,9,11,7
123,27,0.3,13,8,6
134,27,0.3,11,10,6
136,27,0.3,11,9,7
176,27,0.3,9,12,6
180,27,0.3,8,12,7
194,27,0.3,12,10,5
195,27,0.3,9,10,8
197,27,0.3,10,10,7
201,27,0.3,11,10,6
274,27,0.3,13,8,6
282,27,0.3,10,10,7
292,27,0.3,10,11,6
307,27,0.3,10,11,6
314,27,0.3,8,11,8
353,27,0.3,11,11,5
359,27,0.3,8,10,9
0,26,0.28888888888888886,12,9,5
3,26,0.28888888888888886,8,10,8
7,26,0.28888888888888886,11,8,7
28,26,0.28888888888888886,10,9,7
37,26,0.28888888888888886,9,10,7
