step,timestamp_ns,radius_m,shell_thickness_m,v_over_c,v_m_s,negative_energy_j,power_proxy_w,feasible_now,warning,chain_hash,prev_hash
0,1772577260299324197,80.0,1.236,0.35,104927360.3,-7.676701961498007e+46,4.330813744164634e+37,False,requires_exotic_negative_energy,582b969f627189340d963a9c8cc23a02d78c660923f9116dd01d0f509a2dbcb1,GENESIS
1,1772577260299325197,80.52351151487385,1.2352823968022848,0.3504983010542729,105076747.19788446,-7.804194435664402e+46,4.402738662204519e+37,False,requires_exotic_negative_energy,48e877cb61d9e2b4221758ffdbd646266dbd46fe4e44b6ed9527bf8a7545064b,582b969f627189340d963a9c8cc23a02d78c660923f9116dd01d0f509a2dbcb1
2,1772577260299326197,80.98939168491158,1.2331581957841038,0.3509864499824277,105223090.56492604,-7.930403221200604e+46,4.473939386913626e+37,False,requires_exotic_negative_energy,daf10133903f0f96d93a97f633b0de967348b398423857f55b5cfb34462e7097,48e877cb61d9e2b4221758ffdbd646266dbd46fe4e44b6ed9527bf8a7545064b
3,1772577260299327197,81.34635357569265,1.2297120821367484,0.3514545014924757,105363408.87759396,-8.044296109181553e+46,4.538192094274723e+37,False,requires_exotic_negative_energy,68a1ff1ae0a0f9dc53054285d19a00a6bc7de163089c15e9e73c501d49efece7,daf10133903f0f96d93a97f633b0de967348b398423857f55b5cfb34462e7097
4,1772577260299328197,81.55510064218132,1.2250814415364981,0.35189291974675585,105494843.36367667,-8.136459004165748e+46,4.5901858194839845e+37,False,requires_exotic_negative_energy,a71be3ba961a968c7438e18e0ef37d854665ae486b0c7e5c816060d58181b2f8,68a1ff1ae0a0f9dc53054285d19a00a6bc7de163089c15e9e73c501d49efece7
5,1772577260299329197,81.59265273240283,1.219450883011253,0.35229277264012476,105614716.24541815,-8.200160427955563e+46,4.626122997070846e+37,False,requires_exotic_negative_energy,07a4de7ee73adb44576aba5723e092dc80fb3d5f89895b2622f8b64cf6a3f201,a71be3ba961a968c7438e18e0ef37d854665ae486b0c7e5c816060d58181b2f8
6,1772577260299330197,81.4548758829211,1.2130448791611603,0.3526459137780135,105720585.29516675,-8.232127791175219e+46,4.644157394744578e+37,False,requires_exotic_negative_energy,3f76e23994bffb464271ca9ba5d81909e2c564d69896da9067cbbca4ebe721ab,07a4de7ee73adb44576aba5723e092dc80fb3d5f89895b2622f8b64cf6a3f201
7,1772577260299331197,81.15693741078132,1.2061188171444088,0.3529451484468276,105810293.59204933,-8.232897863952483e+46,4.644591831535858e+37,False,requires_exotic_negative_energy,84f8e90802c9ac2ac4328b6ab0cbe5f64bc9f3dc6d2cbb5da2d329a74b9e24d9,3f76e23994bffb464271ca9ba5d81909e2c564d69896da9067cbbca4ebe721ab
8,1772577260299332197,80.7316362026173,1.1989488171971536,0.3531843801952939,105882013.46595368,-8.20666924324433e+46,4.629794947193718e+37,False,requires_exotic_negative_energy,a3794bbb766c78649c860dc29e3bb548f5ecce63bbe6e71965e7f44dc5aac562,84f8e90802c9ac2ac4328b6ab0cbe5f64bc9f3dc6d2cbb5da2d329a74b9e24d9
9,1772577260299333197,80.2257920128958,1.1918207245910488,0.35335873504038334,105934283.73352726,-8.160670532432092e+46,4.6038447605121645e+37,False,requires_exotic_negative_energy,f60d5aca0084bcf42bc228a827de4109627ff73b3fc58e3c96478e302c64e6df,a3794bbb766c78649c860dc29e3bb548f5ecce63bbe6e71965e7f44dc5aac562
10,1772577260299334197,79.69509125939922,1.185018713884303,0.35346466076730243,105966039.46756576,-8.104141649346402e+46,4.571953973942925e+37,False,requires_exotic_negative_energy,7b35832b3e151e724cac06f1a8254a197e06ded3f46299c162b34cb5cca4f868,f60d5aca0084bcf42bc228a827de4109627ff73b3fc58e3c96478e302c64e6df
11,1772577260299335197,79.19795672225865,1.1788139597788074,0.35349999930046677,105976633.69328521,-8.047085330678943e+46,4.539765634429967e+37,False,requires_exotic_negative_energy,21d458bfe833f53013eaac18bce5def3a6b19f1383e44d12bb48dace859844b6,7b35832b3e151e724cac06f1a8254a197e06ded3f46299c162b34cb5cca4f868
12,1772577260299336197,78.78911600750732,1.1734538262405152,0.35346403067100934,105965850.56944928,-7.998968553728191e+46,4.512620540092791e+37,False,requires_exotic_negative_energy,8de67f38749dbbdf722902bea4cf3841a854a81ba0516dee529999b0afad981d,21d458bfe833f53013eaac18bce5def3a6b19f1383e44d12bb48dace859844b6
13,1772577260299337197,78.51357679796678,1.1691520048787178,0.35335748768505093,105933909.78580615,-7.967539619811592e+46,4.494889897473978e+37,False,requires_exotic_negative_energy,8c7d7a5c37e3eb50fc2f51c54152f3173646b23ecbb243f83a951cfd38976b64,8de67f38749dbbdf722902bea4cf3841a854a81ba0516dee529999b0afad981d
14,1772577260299338197,78.40167213264331,1.1660799957359282,0.35318254099388985,105881462.087244,-7.957888452252497e+46,4.489445188362979e+37,False,requires_exotic_negative_energy,c3abd6ddd743b64b113cb86a025b7ea31cc485e0b2234824bb1c85fcc86749ad,8c7d7a5c37e3eb50fc2f51c54152f3173646b23ecbb243f83a951cfd38976b64
15,1772577260299339197,78.46572116053898,1.1643602701223839,0.35294275487028337,105809576.01585372,-7.971833024446247e+46,4.497312023003175e+37,False,requires_exotic_negative_energy,23c1d0f2ab40b8576c9b4e6655b6eb93347b5bdc912066deff4430e6ecbef84a,c3abd6ddd743b64b113cb86a025b7ea31cc485e0b2234824bb1c85fcc86749ad
16,1772577260299340197,78.69867297349187,1.1640613880713888,0.35264301459181074,105719716.14100881,-8.007677859610362e+46,4.517533897652553e+37,False,requires_exotic_negative_energy,2c0f50f7c8b9ce3e4b9dc77b79d3744b87b9d41fe41ce53782890f3f8a28e2d0,23c1d0f2ab40b8576c9b4e6655b6eb93347b5bdc912066deff4430e6ecbef84a
17,1772577260299341197,79.0748828132091,1.1651952650671393,0.3522894269107731,105613713.22099201,-8.060365010043886e+46,4.547257369578748e+37,False,requires_exotic_negative_energy,cc19b5a08601a3c1e00dce9b7c13a2ddbab49705a89a9ffd9e6fc4177a0d93aa,2c0f50f7c8b9ce3e4b9dc77b79d3744b87b9d41fe41ce53782890f3f8a28e2d0
18,1772577260299342197,79.55293520288171,1.1677166970119708,0.3518891956384022,105493726.90407948,-8.122016718795074e+46,4.582038199803758e+37,False,requires_exotic_negative_energy,e3dfa8e5ef319dc5144050ede24f244a31f7ad0a4f10693359c1689482a18c18,cc19b5a08601a3c1e00dce9b7c13a2ddbab49705a89a9ffd9e6fc4177a0d93aa
19,1772577260299343197,80.08020321581148,1.171525162371081,0.3514504748781638,105362201.72899197,-8.182840183244025e+46,4.616351775753996e+37,False,requires_exotic_negative_energy,184a985cd34016542dfc4c5438e8f8a192ca1912453a59cc90972aa293bc8764,e3dfa8e5ef319dc5144050ede24f244a31f7ad0a4f10693359c1689482a18c18
20,1772577260299344197,80.59864196891395,1.1764688296489099,0.35098220289830023,105221817.32113615,-8.232321115136288e+46,4.644266458515921e+37,False,requires_exotic_negative_energy,90f7edc5a8932584d238abf5981bd3f30eec7bf2ed460ca2e57275c76a3c4da9,184a985cd34016542dfc4c5438e8f8a192ca1912453a59cc90972aa293bc8764
21,1772577260299345197,81.05117855795007,1.1823506104317347,0.3504939200282095,105075433.79931235,-8.260578337525961e+46,4.660207779113081e+37,False,requires_exotic_negative_energy,79157eea296ccfa609769e3f8ec1985a430005b4d0e5c39de367e771e59689b5,90f7edc5a8932584d238abf5981bd3f30eec7bf2ed460ca2e57275c76a3c4da9
22,1772577260299346197,81.3879949913901,1.1889360166807768,0.34999557428874367,104926033.50514406,-8.259702582658533e+46,4.659713721738518e+37,False,requires_exotic_negative_energy,eb7c46b569874f48c58362a9d7086af38735be01f3d0ed9ab9cc991bd0ccc9e2,79157eea296ccfa609769e3f8ec1985a430005b4d0e5c39de367e771e59689b5
23,1772577260299347197,81.5720124591782,1.195962509030338,0.3494973187164136,104776660.24240303,-8.224880045118407e+46,4.640068576604337e+37,False,requires_exotic_negative_energy,561a72bda4edea893d53c4e5a467fb5493e2b53b4660ca10a7f5ec62d542b610,eb7c46b569874f48c58362a9d7086af38735be01f3d0ed9ab9cc991bd0ccc9e2
24,1772577260299348197,81.58297319459741,1.20314996340382,0.34900930451071205,104630357.26413685,-8.155120709583444e+46,4.600713826265733e+37,False,requires_exotic_negative_energy,293ed6188092281906c46e16cc6677e944f1fbeed900d2a094c408ad57ec6148,561a72bda4edea893d53c4e5a467fb5493e2b53b4660ca10a7f5ec62d542b610
25,1772577260299349197,81.4196705729515,1.2102118386766763,0.3485414742188627,104490105.27101648,-8.053474731093662e+46,4.54337021661533e+37,False,requires_exotic_negative_energy,a6af51aa27947bffe47d75c971c2ff476b402e3d59fb2d96a16a258ed876f8b4,293ed6188092281906c46e16cc6677e944f1fbeed900d2a094c408ad57ec6148
26,1772577260299350197,81.10008194418089,1.2168666001668134,0.34810335917154206,104358761.68409343,-7.926712952717916e+46,4.47185752082776e+37,False,requires_exotic_negative_energy,1baed6f8786c1c2190e52b95023c2671a501d16b4c8405ba07ba138c9f2906d6,a6af51aa27947bffe47d75c971c2ff476b402e3d59fb2d96a16a258ed876f8b4
27,1772577260299351197,80.6593895763868,1.222848943533935,0.347703885296513,104239002.4291917,-7.784544838487902e+46,4.391653335986752e+37,False,requires_exotic_negative_energy,e2c6e99114ad6bd81eaa35b40f6be16b168af9e43b219b92ac7985956db191c4,1baed6f8786c1c2190e52b95023c2671a501d16b4c8405ba07ba138c9f2906d6
28,1772577260299352197,80.14610757688759,1.227920371626369,0.3473511912664222,104133267.41898885,-7.638522088930184e+46,4.309274557454377e+37,False,requires_exotic_negative_energy,d1a21ae59d29a6a65ac16ba10b0494ba5c910ab40e5f8c0a8e591947df8f49a4,e2c6e99114ad6bd81eaa35b40f6be16b168af9e43b219b92ac7985956db191c4
29,1772577260299353197,79.61674116299149,1.2318787026098874,0.3470524626857228,104043710.84350613,-7.500810551985587e+46,4.231584552043079e+37,False,requires_exotic_negative_energy,facbf0ae99d154916fc19367903042396f0888d2fd0d2a751b5d7c96f71a7388,d1a21ae59d29a6a65ac16ba10b0494ba5c910ab40e5f8c0a8e591947df8f49a4
30,1772577260299354197,79.12956622257701,1.234566130319413,0.3468137856949122,103972157.28176297,-7.383002308353502e+46,4.165122995601701e+37,False,requires_exotic_negative_energy,92baadc9d3f99062af8758b93353b5e03f9f361a6b6803dc05e99b3265bca2a0,facbf0ae99d154916fc19367903042396f0888d2fd0d2a751b5d7c96f71a7388
