name,participant_type,circuit,qubits,shots,gate_count,ok,time_s,shots_per_s,gates_per_s,error
Qiskit Aer,competitor,ghz,4,256,4,True,0.617726,414.423,6.475,
Qiskit Aer,competitor,ghz,8,256,8,True,0.67544,379.012,11.844,
Qiskit Aer,competitor,ghz,12,256,12,True,0.655248,390.692,18.314,
quimb,competitor,ghz,4,256,4,True,6.083166,42.083,0.658,
quimb,competitor,ghz,8,256,8,True,1.700468,150.547,4.705,
quimb,competitor,ghz,12,256,12,True,1.639424,156.152,7.32,
Qulacs,competitor,ghz,4,256,4,True,0.207727,1232.389,19.256,
Qulacs,competitor,ghz,8,256,8,True,0.197941,1293.313,40.416,
Qulacs,competitor,ghz,12,256,12,True,0.189145,1353.456,63.443,
MQT DDSIM,competitor,ghz,4,256,4,True,0.635002,403.148,6.299,
MQT DDSIM,competitor,ghz,8,256,8,True,0.659974,387.894,12.122,
MQT DDSIM,competitor,ghz,12,256,12,True,0.638538,400.916,18.793,
QuTiP,competitor,ghz,4,256,4,True,0.924257,276.979,4.328,"/root/.pyenv/versions/3.12.12/lib/python3.12/site-packages/qutip/__init__.py:24: UserWarning: matplotlib not found: Graphics will not work.
  warnings.warn(""matplotlib not found: Graphics will not work."")"
QuTiP,competitor,ghz,8,256,8,True,0.908355,281.828,8.807,"/root/.pyenv/versions/3.12.12/lib/python3.12/site-packages/qutip/__init__.py:24: UserWarning: matplotlib not found: Graphics will not work.
  warnings.warn(""matplotlib not found: Graphics will not work."")"
QuTiP,competitor,ghz,12,256,12,True,0.956443,267.658,12.546,"/root/.pyenv/versions/3.12.12/lib/python3.12/site-packages/qutip/__init__.py:24: UserWarning: matplotlib not found: Graphics will not work.
  warnings.warn(""matplotlib not found: Graphics will not work."")"
Lumvorax V5 Reference,our_simulator,ghz,4,256,4,True,0.208222,1229.458,19.21,
Lumvorax V5 Reference,our_simulator,ghz,8,256,8,True,0.200751,1275.213,39.85,
Lumvorax V5 Reference,our_simulator,ghz,12,256,12,True,0.194228,1318.037,61.783,
