file,sha256,line_count,nonempty_count,theorem_markers,log_markers,numeric_tokens
nx_versions/NX-39_CAHIER_CHARGES_TG.md,039034f2601138ee2dd2c937dce42ca0adff170f00d1fc2131d221e145e94147,30,23,2,1,35
nx_versions/lumvorax_v32_engine.cpp,606328dd4a9db276ed58dbef5e3bc5e7b89867efe1ea37d8427537f361db6039,91,76,0,3,80
nx_versions/lumvorax_v4_kerr_engine.cpp,cf1bcf150d9b10f1474649681b0351c99701e9928c2f959569768637afe6d7c3,85,68,0,2,81
nx_versions/nx11_logger_engine.py,cb5825b26d94cb2776a83721f482a727df689d5b9f45763d71825bf7257ca9dc,205,172,0,33,190
nx_versions/nx21_engine.cpp,6ba31fbc203b9394492e10a5eca39031b296df2ad94f2df9f94836faa2904af7,75,62,0,7,49
nx_versions/nx22_torture_engine.cpp,049bf866acccddc58c0960b7ec3a88d94ff0103e43fd7bbba393b449c39d2f79,120,102,0,14,165
nx_versions/nx23_exploration_engine.cpp,d3dea40c50b13ff9521fb9c0aadb5cc8780751b1b86eef267a5b539879bd8b8b,122,105,0,8,200
nx_versions/nx24_falsification_engine.cpp,7e7f945815f5cbe17c37d6046aeb051591ad78116ca1315754fb539cb5c213f4,122,105,0,14,161
nx_versions/nx25_heritage_engine.cpp,fc9b286e66c4efd12be020895877e5547605cbd4777c95a11b34c4cddcfa4e77,132,115,0,12,179
nx_versions/nx26_production_engine.cpp,061f4ba0ade857cff09fde5fec40eca9882b8352879b4f43f4f739fb63de8cb5,126,108,0,20,220
nx_versions/nx27_iq_engine.cpp,48095578b31ebe867cbf4c977736dd9a330c5582ce6c69517ad4f412c49de22f,132,112,0,17,212
nx_versions/nx28_app_engine.cpp,4de0a40b99f019030908ccff10ffd0143f855be13a1977628d150058850c01d0,97,84,0,1,183
nx_versions/nx29_bridge_engine.cpp,bb38952b67ae4c3df07a393aecc71cf6659550f53c60227e348dbc6e1e72f281,119,103,0,4,193
nx_versions/nx30_dialogue_engine.cpp,43e10825881ac26861f03662eb71f259f37b3b5501ab53802359da3cb9651b93,103,85,1,8,169
nx_versions/nx31_forensic_engine.cpp,7051b233f0c93b52a78309f42adb948834f2aa3f2fb65996f81c5d9959acc547,59,45,0,14,58
nx_versions/nx31_grand_conjectures_engine.cpp,c6d6680980ae85c7d0d6e5129cde48fbf2daa7fe72482ce0d6d8811ecc600ed6,66,56,0,6,25
nx_versions/nx31_iamo3_solver.cpp,7aebecee05ab25d34c324259a9b891d863a979da232230d610356fcfcc939ed6,92,77,1,0,98
nx_versions/nx32_bit_by_bit_logger.cpp,e8552c68f63d85a047273030efde3d155985c63bb035e0644b06dd036e5829ca,17,16,0,3,34
nx_versions/nx32_fixed_logger.cpp,ff18b32931d2c543aa4e40fe8e4832dedc663108f3880b8bacf1609e2a7db4c3,35,29,0,9,40
nx_versions/nx32_ultimate_engine.cpp,3ba43f5939711c009f8d5d96a3ea34a990595e2840e45149ecae5c63264faf40,100,81,0,12,125
nx_versions/nx33_aristotle_friendly.lean,877afbceabb1899a0368ed9443c6f393b9fe59d4e6b0e1b502fc7d8b67d905c7,37,33,1,0,31
