idx,delta_ns
0,7717
1,856
2,391
3,257
4,227
5,431
6,239
7,395
8,232
9,656
10,219
11,468
12,235
13,228
14,226
15,226
16,229
17,372
18,222
19,223
20,225
21,227
22,223
23,227
24,226
25,767
26,216
27,296
28,234
29,224
30,229
31,226
32,222
33,789
34,227
35,227
36,225
37,225
38,221
39,228
40,223
41,734
42,225
43,225
44,230
45,222
46,225
47,224
48,225
49,221
50,227
51,221
52,226
53,585
54,224
55,219
56,226
57,222
58,256
59,360
60,233
61,276
62,251
63,249
64,220
65,1282
66,235
67,275
68,229
69,222
70,219
71,223
72,225
73,294
74,241
75,225
76,227
77,1754
78,271
79,287
80,299
81,232
82,251
83,223
84,219
85,225
86,218
87,226
88,227
89,229
90,224
91,277
92,226
93,465
94,223
95,242
96,225
97,229
98,217
99,219
100,215
101,227
102,220
103,228
104,226
105,228
106,228
107,224
108,223
109,982
110,221
111,235
112,229
113,219
114,219
115,226
116,255
117,226
118,223
119,224
120,218
121,225
122,229
123,221
124,223
125,223
126,221
127,242
128,216
129,336
130,214
131,230
132,222
133,224
134,220
135,218
136,223
137,217
138,220
139,219
140,217
141,221
142,220
143,229
144,226
145,257
146,240
147,228
148,228
149,428
150,218
151,300
152,236
153,228
154,224
155,223
156,218
157,219
158,223
159,222
160,221
161,220
162,218
163,253
164,220
165,219
166,224
167,224
168,224
169,219
170,222
171,224
172,225
173,404
174,368
175,232
176,224
177,223
178,222
179,229
180,222
181,223
182,226
183,224
184,228
185,246
186,225
187,378
188,234
189,230
190,224
191,217
192,220
193,218
194,219
195,222
196,227
197,251
198,225
199,226
200,259
201,792
202,259
203,294
204,239
205,227
206,249
207,219
208,217
209,221
210,215
211,360
212,234
213,230
214,222
215,229
216,224
217,224
218,222
219,246
220,227
221,221
222,231
223,225
224,221
225,222
226,222
227,220
228,229
229,224
230,224
231,227
232,253
233,392
234,214
235,222
236,222
237,218
238,223
239,221
240,216
241,226
242,222
243,248
244,219
245,223
246,228
247,222
248,219
249,223
250,215
251,366
252,226
253,248
254,225
255,219
256,220
257,281
258,305
259,250
260,262
261,249
262,250
263,291
264,261
265,260
266,232
267,249
268,257
269,1283
270,260
271,233
272,253
273,265
274,270
275,243
276,280
277,249
278,249
279,266
280,230
281,257
282,222
283,252
284,245
285,249
286,251
287,232
288,240
289,230
290,235
291,231
292,232
293,237
294,235
295,231
296,233
297,231
298,238
299,235
300,228
301,230
302,229
303,227
304,236
305,232
306,230
307,232
308,233
309,430
310,258
311,262
312,266
313,241
314,266
315,250
316,267
317,258
318,261
319,220
320,246
321,249
322,283
323,283
324,259
325,227
326,256
327,258
328,262
329,236
330,251
331,248
332,259
333,241
334,271
335,241
336,253
337,234
338,230
339,228
340,256
341,234
342,238
343,232
344,235
345,235
346,234
347,233
348,225
349,230
350,252
351,230
352,249
353,300
354,245
355,262
356,241
357,257
358,243
359,251
360,233
361,238
362,233
363,234
364,238
365,229
366,233
367,238
368,237
369,237
370,236
371,231
372,232
373,261
374,238
375,257
376,238
377,256
378,232
379,229
380,234
381,227
382,234
383,231
384,233
385,234
386,232
387,229
388,235
389,233
390,229
391,229
392,235
393,226
394,223
395,223
396,230
397,229
398,225
399,223
400,252
401,297
402,244
403,263
404,244
405,257
406,244
407,251
408,230
409,231
410,232
411,232
412,233
413,234
414,229
415,235
416,279
417,232
418,248
419,232
420,239
421,238
422,237
423,234
424,221
425,225
426,266
427,262
428,261
429,252
430,271
431,241
432,247
433,225
434,259
435,239
436,242
437,277
438,236
439,250
440,227
441,231
442,233
443,229
444,225
445,232
446,229
447,233
448,226
449,229
450,232
451,233
452,232
453,229
454,234
455,228
456,267
457,343
458,268
459,263
460,264
461,260
462,252
463,254
464,251
465,224
466,239
467,237
468,226
469,233
470,234
471,234
472,234
473,240
474,268
475,242
476,259
477,240
478,255
479,230
480,230
481,237
482,238
483,233
484,229
485,234
486,238
487,261
488,245
489,255
490,235
491,231
492,236
493,228
494,235
495,232
496,232
497,237
498,231
499,237
500,232
501,233
502,239
503,238
504,235
505,262
506,243
507,259
508,240
509,247
510,227
511,231
512,235
513,239
514,234
515,230
516,235
517,231
518,238
519,229
520,231
521,300
522,240
523,254
524,228
525,233
526,233
527,234
528,232
529,227
530,232
531,227
532,225
533,258
534,248
535,252
536,229
537,230
538,228
539,231
540,236
541,237
542,234
543,240
544,235
545,237
546,281
547,247
548,257
549,250
550,254
551,236
552,236
553,233
554,236
555,236
556,233
557,235
558,234
559,230
560,234
561,231
562,225
563,232
564,261
565,244
566,258
567,247
568,261
569,251
570,256
571,238
572,245
573,240
574,232
575,234
576,232
577,234
578,233
579,224
580,236
581,241
582,235
583,230
584,232
585,260
586,240
587,248
588,233
589,227
590,231
591,230
592,232
593,299
594,247
595,253
596,233
597,237
598,231
599,232
600,237
601,228
602,234
603,233
604,231
605,235
606,267
607,243
608,268
609,247
610,252
611,233
612,227
613,229
614,232
615,236
616,232
617,230
618,233
619,229
620,233
621,233
622,234
623,232
624,229
625,230
626,231
627,228
628,233
629,228
630,233
631,232
632,228
633,227
634,229
635,230
636,235
637,231
638,233
639,231
640,223
641,229
642,235
643,232
644,236
645,229
646,230
647,231
648,230
649,230
650,264
651,237
652,249
653,229
654,232
655,236
656,239
657,229
658,231
659,232
660,233
661,230
662,229
663,234
664,234
665,238
666,236
667,235
668,238
