131988716265313,PHYSICS,INIT_MASS,3b9aca00
131988717101516,PHYSICS,INIT_SPIN,3b8b87c0
131988717589984,PHYSICS,HORIZON_P,3e450321
131988718391050,TEST_METADATA,CRITICAL_SPIN,3e7
131988718948860,GEO_STEP,COORD_R,4023ffbe76c8b439
131988719776891,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988720332813,GEO_STEP,VEL_R,bfb99ce08b70f570
131988720897683,GEO_STEP,COORD_R,4023ff7ce52db5a7
131988721293939,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988721557619,GEO_STEP,VEL_R,bfb9a02792c5dcd6
131988721744158,GEO_STEP,COORD_R,4023ff3b4b2ecd46
131988721948637,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988722164038,GEO_STEP,VEL_R,bfb9a36eaf9be357
131988722341718,GEO_STEP,COORD_R,4023fef9a8cbc409
131988722537134,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988722713255,GEO_STEP,VEL_R,bfb9a6b5e1f69cee
131988722889350,GEO_STEP,COORD_R,4023feb7fe0462d9
131988723102980,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988723285492,GEO_STEP,VEL_R,bfb9a9fd29d99e04
131988723475202,GEO_STEP,COORD_R,4023fe764ad87297
131988723651781,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988723828022,GEO_STEP,VEL_R,bfb9ad4487487b6e
131988724038067,GEO_STEP,COORD_R,4023fe348f47bc1b
131988724285154,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988724462902,GEO_STEP,VEL_R,bfb9b08bfa46ca72
131988724656642,GEO_STEP,COORD_R,4023fdf2cb520833
131988724882987,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988725222449,GEO_STEP,VEL_R,bfb9b3d382d820c4
131988725480671,GEO_STEP,COORD_R,4023fdb0fef71fa3
131988725696512,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988725965009,GEO_STEP,VEL_R,bfb9b71b21001486
131988726291683,GEO_STEP,COORD_R,4023fd6f2a36cb28
131988726867098,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988727081806,GEO_STEP,VEL_R,bfb9ba62d4c23c48
131988727281309,GEO_STEP,COORD_R,4023fd2d4d10d374
131988727504269,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988727716665,GEO_STEP,VEL_R,bfb9bdaa9e222f0b
131988728159960,GEO_STEP,COORD_R,4023fceb67850131
131988728658086,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988729234264,GEO_STEP,VEL_R,bfb9c0f27d23843c
131988729725293,GEO_STEP,COORD_R,4023fca979931cff
131988730238233,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988730629527,GEO_STEP,VEL_R,bfb9c43a71c9d3ba
131988730841046,GEO_STEP,COORD_R,4023fc67833aef75
131988731122743,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988731331662,GEO_STEP,VEL_R,bfb9c7827c18b5d1
131988731531058,GEO_STEP,COORD_R,4023fc25847c4121
131988731749402,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988732112993,GEO_STEP,VEL_R,bfb9caca9c13c33c
131988732463948,GEO_STEP,COORD_R,4023fbe37d56da88
131988732704353,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988732907089,GEO_STEP,VEL_R,bfb9ce12d1be9527
131988733158160,GEO_STEP,COORD_R,4023fba16dca8425
131988733341425,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988733523836,GEO_STEP,VEL_R,bfb9d15b1d1cc52c
131988733738321,GEO_STEP,COORD_R,4023fb5f55d7066b
131988733914196,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988734283930,GEO_STEP,VEL_R,bfb9d4a37e31ed55
131988734511564,GEO_STEP,COORD_R,4023fb1d357c29c2
131988734771683,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988735066761,GEO_STEP,VEL_R,bfb9d7ebf501a81c
131988735349973,GEO_STEP,COORD_R,4023fadb0cb9b68b
131988735674002,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988735896511,GEO_STEP,VEL_R,bfb9db34818f906a
131988736143067,GEO_STEP,COORD_R,4023fa98db8f751b
131988736383823,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988736561975,GEO_STEP,VEL_R,bfb9de7d23df4198
131988736806325,GEO_STEP,COORD_R,4023fa56a1fd2dc1
131988737044693,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988737227442,GEO_STEP,VEL_R,bfb9e1c5dbf4576f
131988737423137,GEO_STEP,COORD_R,4023fa146002a8c0
131988737609700,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988737791800,GEO_STEP,VEL_R,bfb9e50ea9d26e28
131988738363320,GEO_STEP,COORD_R,4023f9d2159fae53
131988738642270,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988738916822,GEO_STEP,VEL_R,bfb9e8578d7d226c
131988739249594,GEO_STEP,COORD_R,4023f98fc2d406ac
131988739517131,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988739741514,GEO_STEP,VEL_R,bfb9eba086f81154
131988739955011,GEO_STEP,COORD_R,4023f94d679f79f4
131988740174667,GEO_STEP,COORD_TH,3ff91eb851eb851f
131988740362999,GEO_STEP,VEL_R,bfb9eee99646d869
131988740641007,GEO_STEP,COORD_R,4023f90b0401d049
